States/UTs,Crime Head,2011
Sikkim,KIDNAPPING & ABDUCTION,10
Tamil Nadu,KIDNAPPING & ABDUCTION,1743
Tripura,KIDNAPPING & ABDUCTION,116
Uttar Pradesh,KIDNAPPING & ABDUCTION,7525
Uttarakhand,KIDNAPPING & ABDUCTION,283
West Bengal,KIDNAPPING & ABDUCTION,3711
A&N Islands,KIDNAPPING & ABDUCTION,12
Chandigarh,KIDNAPPING & ABDUCTION,46
D&N Haveli,KIDNAPPING & ABDUCTION,8
Daman & Diu,KIDNAPPING & ABDUCTION,2
Delhi UT,KIDNAPPING & ABDUCTION,2085
Lakshadweep,KIDNAPPING & ABDUCTION,0
Puducherry,KIDNAPPING & ABDUCTION,9
ALL INDIA K&A,KIDNAPPING & ABDUCTION,35565
Andhra Pradesh,DOWRY DEATH,599
Arunachal Pradesh,DOWRY DEATH,0
Assam,DOWRY DEATH,121
Bihar,DOWRY DEATH,1413
Chhattisgarh,DOWRY DEATH,104
Goa,DOWRY DEATH,1
Gujarat,DOWRY DEATH,30
Haryana,DOWRY DEATH,255
Himachal Pradesh,DOWRY DEATH,4
Jammu & Kashmir,DOWRY DEATH,11
Jharkhand,DOWRY DEATH,282
Karnataka,DOWRY DEATH,267
Kerala,DOWRY DEATH,15
Madhya Pradesh,DOWRY DEATH,811
Maharashtra,DOWRY DEATH,339
Manipur,DOWRY DEATH,1
Meghalaya,DOWRY DEATH,1
Mizoram,DOWRY DEATH,0
Nagaland,DOWRY DEATH,0
Odisha,DOWRY DEATH,465
Punjab,DOWRY DEATH,143
Rajasthan,DOWRY DEATH,514
Sikkim,DOWRY DEATH,0
Tamil Nadu,DOWRY DEATH,152
Tripura,DOWRY DEATH,30
Uttar Pradesh,DOWRY DEATH,2322
Uttarakhand,DOWRY DEATH,83
West Bengal,DOWRY DEATH,510
A&N Islands,DOWRY DEATH,0
Chandigarh,DOWRY DEATH,2
D&N Haveli,DOWRY DEATH,0
Daman & Diu,DOWRY DEATH,0
Delhi UT,DOWRY DEATH,142
Lakshadweep,DOWRY DEATH,0
Puducherry,DOWRY DEATH,1
ALL INDIA,DOWRY DEATH,8618
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4849
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,51
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1193
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,790
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1654
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,29
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,685
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,474
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,331
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1194
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,317
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2608
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3756
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6665
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3794
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,38
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,74
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,72
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,9
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3207
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,282
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2447
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,24
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1467
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,294
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3455
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,116
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2363
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,15
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,21
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,657
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,35
All India,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,42968
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,3658
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,0
Assam,INSULT TO THE MODESTY OF WOMEN,8
Bihar,INSULT TO THE MODESTY OF WOMEN,11
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,174
Goa,INSULT TO THE MODESTY OF WOMEN,12
Gujarat,INSULT TO THE MODESTY OF WOMEN,93
Haryana,INSULT TO THE MODESTY OF WOMEN,490
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,62
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,350
Jharkhand,INSULT TO THE MODESTY OF WOMEN,7
Karnataka,INSULT TO THE MODESTY OF WOMEN,81
Kerala,INSULT TO THE MODESTY OF WOMEN,573
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,762
Maharashtra,INSULT TO THE MODESTY OF WOMEN,1071
Manipur,INSULT TO THE MODESTY OF WOMEN,0
Meghalaya,INSULT TO THE MODESTY OF WOMEN,1
Mizoram,INSULT TO THE MODESTY OF WOMEN,1
Nagaland,INSULT TO THE MODESTY OF WOMEN,0
Odisha,INSULT TO THE MODESTY OF WOMEN,235
Punjab,INSULT TO THE MODESTY OF WOMEN,31
Rajasthan,INSULT TO THE MODESTY OF WOMEN,9
Sikkim,INSULT TO THE MODESTY OF WOMEN,0
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,464
Tripura,INSULT TO THE MODESTY OF WOMEN,9
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,3
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,72
West Bengal,INSULT TO THE MODESTY OF WOMEN,200
A&N Islands,INSULT TO THE MODESTY OF WOMEN,3
Chandigarh,INSULT TO THE MODESTY OF WOMEN,12
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,0
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,0
Delhi UT,INSULT TO THE MODESTY OF WOMEN,162
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,0
Puducherry,INSULT TO THE MODESTY OF WOMEN,16
All India,INSULT TO THE MODESTY OF WOMEN,8570
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,13376
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,18
Assam,CRUELTY BY HUSBAND OR RELATIVES,5246
Bihar,CRUELTY BY HUSBAND OR RELATIVES,2607
Chhattisgarh,CRUELTY BY HUSBAND OR RELATIVES,834
Goa,CRUELTY BY HUSBAND OR RELATIVES,18
Gujarat,CRUELTY BY HUSBAND OR RELATIVES,6052
Haryana,CRUELTY BY HUSBAND OR RELATIVES,2740
Himachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,239
Jammu & Kashmir,CRUELTY BY HUSBAND OR RELATIVES,286
Jharkhand,CRUELTY BY HUSBAND OR RELATIVES,659
Karnataka,CRUELTY BY HUSBAND OR RELATIVES,3712
Kerala,CRUELTY BY HUSBAND OR RELATIVES,5377
Madhya Pradesh,CRUELTY BY HUSBAND OR RELATIVES,3732
Maharashtra,CRUELTY BY HUSBAND OR RELATIVES,7136
Manipur,CRUELTY BY HUSBAND OR RELATIVES,39
Meghalaya,CRUELTY BY HUSBAND OR RELATIVES,21
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,9
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,1
Odisha,CRUELTY BY HUSBAND OR RELATIVES,2320
Punjab,CRUELTY BY HUSBAND OR RELATIVES,1136
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,12218
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,4
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,1812
Tripura,CRUELTY BY HUSBAND OR RELATIVES,702
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,7121
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,307
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,19772
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,5
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,46
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,3
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,2
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,1575
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,0
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,10
All India,CRUELTY BY HUSBAND OR RELATIVES,99135
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,497
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,21
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,23
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,15
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,18
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,46
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,57
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,2
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,2
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,15
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,351
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,197
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,24
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,390
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,0
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,2
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,8
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,2
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,23
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,50
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,81
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,1
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,420
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,2
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,43
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,3
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,96
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,3
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,1
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,1
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,6
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,33
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,3
All India,IMMORAL TRAFFIC(PREVENTION)ACT,2436
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,314
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,12
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,102
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,10
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,4
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,453
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,28246
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,171
Assam,TOTAL CRIMES AGAINST WOMEN,11503
Bihar,TOTAL CRIMES AGAINST WOMEN,10231
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,4219
Goa,TOTAL CRIMES AGAINST WOMEN,127
Gujarat,TOTAL CRIMES AGAINST WOMEN,8815
Haryana,TOTAL CRIMES AGAINST WOMEN,5491
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,997
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,3146
Jharkhand,TOTAL CRIMES AGAINST WOMEN,3132
Karnataka,TOTAL CRIMES AGAINST WOMEN,9594
Kerala,TOTAL CRIMES AGAINST WOMEN,11288
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,16599
Maharashtra,TOTAL CRIMES AGAINST WOMEN,15728
Manipur,TOTAL CRIMES AGAINST WOMEN,247
Meghalaya,TOTAL CRIMES AGAINST WOMEN,269
Mizoram,TOTAL CRIMES AGAINST WOMEN,167
Nagaland,TOTAL CRIMES AGAINST WOMEN,38
Odisha,TOTAL CRIMES AGAINST WOMEN,9433
Punjab,TOTAL CRIMES AGAINST WOMEN,2641
Rajasthan,TOTAL CRIMES AGAINST WOMEN,19888
Sikkim,TOTAL CRIMES AGAINST WOMEN,55
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,6940
Tripura,TOTAL CRIMES AGAINST WOMEN,1358
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,22639
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,996
West Bengal,TOTAL CRIMES AGAINST WOMEN,29133
A&N Islands,TOTAL CRIMES AGAINST WOMEN,51
Chandigarh,TOTAL CRIMES AGAINST WOMEN,156
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,18
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,11
Delhi UT,TOTAL CRIMES AGAINST WOMEN,5234
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,0
Puducherry,TOTAL CRIMES AGAINST WOMEN,89
TOTAL Crime against Women,TOTAL CRIMES AGAINST WOMEN,228650
