States/UTs,Crime Head,2011
Andhra Pradesh,RAPE,1442
Arunachal Pradesh,RAPE,42
Assam,RAPE,1700
Bihar,RAPE,934
Chhattisgarh,RAPE,1053
Goa,RAPE,29
Gujarat,RAPE,439
Haryana,RAPE,733
Himachal Pradesh,RAPE,168
Jammu & Kashmir,RAPE,277
Jharkhand,RAPE,784
Karnataka,RAPE,636
Kerala,RAPE,1132
Madhya Pradesh,RAPE,3406
Maharashtra,RAPE,1701
Manipur,RAPE,53
Meghalaya,RAPE,130
Mizoram,RAPE,77
Nagaland,RAPE,23
Odisha,RAPE,1112
Punjab,RAPE,479
Rajasthan,RAPE,1800
Sikkim,RAPE,16
Tamil Nadu,RAPE,677
Tripura,RAPE,205
Uttar Pradesh,RAPE,2042
Uttarakhand,RAPE,129
West Bengal,RAPE,2363
A&N Islands,RAPE,13
Chandigarh,RAPE,27
D&N Haveli,RAPE,4
Daman & Diu,RAPE,1
Delhi UT,RAPE,572
Lakshadweep,RAPE,0
Puducherry,RAPE,7
All India,RAPE,24206
Andhra Pradesh,KIDNAPPING & ABDUCTION,1612
Arunachal Pradesh,KIDNAPPING & ABDUCTION,60
Assam,KIDNAPPING & ABDUCTION,3192
Bihar,KIDNAPPING & ABDUCTION,3050
Chhattisgarh,KIDNAPPING & ABDUCTION,365
Goa,KIDNAPPING & ABDUCTION,17
Gujarat,KIDNAPPING & ABDUCTION,1442
Haryana,KIDNAPPING & ABDUCTION,733
Himachal Pradesh,KIDNAPPING & ABDUCTION,191
Jammu & Kashmir,KIDNAPPING & ABDUCTION,1023
Jharkhand,KIDNAPPING & ABDUCTION,660
Karnataka,KIDNAPPING & ABDUCTION,715
Kerala,KIDNAPPING & ABDUCTION,221
Madhya Pradesh,KIDNAPPING & ABDUCTION,1088
Maharashtra,KIDNAPPING & ABDUCTION,1252
Manipur,KIDNAPPING & ABDUCTION,116
Meghalaya,KIDNAPPING & ABDUCTION,37
Mizoram,KIDNAPPING & ABDUCTION,0
Nagaland,KIDNAPPING & ABDUCTION,3
Odisha,KIDNAPPING & ABDUCTION,1008
Punjab,KIDNAPPING & ABDUCTION,517
Rajasthan,KIDNAPPING & ABDUCTION,2713
