States/UTs,Crime Head,2006
Andhra Pradesh,RAPE,1049
Arunachal Pradesh,RAPE,37
Assam,RAPE,1244
Bihar,RAPE,1232
Chhattisgarh,RAPE,995
Goa,RAPE,21
Gujarat,RAPE,354
Haryana,RAPE,608
Himachal Pradesh,RAPE,113
Jammu & Kashmir,RAPE,250
Jharkhand,RAPE,799
Karnataka,RAPE,400
Kerala,RAPE,601
Madhya Pradesh,RAPE,2900
Maharashtra,RAPE,1500
Manipur,RAPE,40
Meghalaya,RAPE,74
Mizoram,RAPE,72
Nagaland,RAPE,23
Odisha,RAPE,985
Punjab,RAPE,442
Rajasthan,RAPE,1085
Sikkim,RAPE,20
Tamil Nadu,RAPE,457
Tripura,RAPE,189
Uttar Pradesh,RAPE,1314
Uttarakhand,RAPE,147
West Bengal,RAPE,1731
A&N Islands,RAPE,6
Chandigarh,RAPE,19
D&N Haveli,RAPE,6
Daman & Diu,RAPE,3
Delhi UT,RAPE,623
Lakshadweep,RAPE,0
Puducherry,RAPE,9
All India,RAPE,19348
Andhra Pradesh,KIDNAPPING & ABDUCTION,1329
Arunachal Pradesh,KIDNAPPING & ABDUCTION,51
Assam,KIDNAPPING & ABDUCTION,1544
Bihar,KIDNAPPING & ABDUCTION,1084
Chhattisgarh,KIDNAPPING & ABDUCTION,178
Goa,KIDNAPPING & ABDUCTION,10
Gujarat,KIDNAPPING & ABDUCTION,945
Haryana,KIDNAPPING & ABDUCTION,431
Himachal Pradesh,KIDNAPPING & ABDUCTION,109
Jammu & Kashmir,KIDNAPPING & ABDUCTION,723
Jharkhand,KIDNAPPING & ABDUCTION,410
Karnataka,KIDNAPPING & ABDUCTION,328
Kerala,KIDNAPPING & ABDUCTION,202
Madhya Pradesh,KIDNAPPING & ABDUCTION,617
Maharashtra,KIDNAPPING & ABDUCTION,921
Manipur,KIDNAPPING & ABDUCTION,79
Meghalaya,KIDNAPPING & ABDUCTION,25
Mizoram,KIDNAPPING & ABDUCTION,1
Nagaland,KIDNAPPING & ABDUCTION,3
Odisha,KIDNAPPING & ABDUCTION,577
Punjab,KIDNAPPING & ABDUCTION,418
Rajasthan,KIDNAPPING & ABDUCTION,1553
Sikkim,KIDNAPPING & ABDUCTION,7
Tamil Nadu,KIDNAPPING & ABDUCTION,718
Tripura,KIDNAPPING & ABDUCTION,62
Uttar Pradesh,KIDNAPPING & ABDUCTION,2551
Uttarakhand,KIDNAPPING & ABDUCTION,183
West Bengal,KIDNAPPING & ABDUCTION,1199
A&N Islands,KIDNAPPING & ABDUCTION,5
Chandigarh,KIDNAPPING & ABDUCTION,57
D&N Haveli,KIDNAPPING & ABDUCTION,14
Daman & Diu,KIDNAPPING & ABDUCTION,1
Delhi UT,KIDNAPPING & ABDUCTION,1066
Lakshadweep,KIDNAPPING & ABDUCTION,0
Puducherry,KIDNAPPING & ABDUCTION,13
ALL INDIA K&A,KIDNAPPING & ABDUCTION,17414
Andhra Pradesh,DOWRY DEATH,519
Arunachal Pradesh,DOWRY DEATH,1
Assam,DOWRY DEATH,105
Bihar,DOWRY DEATH,1188
Chhattisgarh,DOWRY DEATH,103
Goa,DOWRY DEATH,0
Gujarat,DOWRY DEATH,50
Haryana,DOWRY DEATH,255
Himachal Pradesh,DOWRY DEATH,3
Jammu & Kashmir,DOWRY DEATH,10
Jharkhand,DOWRY DEATH,281
Karnataka,DOWRY DEATH,244
Kerala,DOWRY DEATH,25
Madhya Pradesh,DOWRY DEATH,764
Maharashtra,DOWRY DEATH,387
Manipur,DOWRY DEATH,0
Meghalaya,DOWRY DEATH,6
Mizoram,DOWRY DEATH,0
Nagaland,DOWRY DEATH,0
Odisha,DOWRY DEATH,457
Punjab,DOWRY DEATH,130
Rajasthan,DOWRY DEATH,394
Sikkim,DOWRY DEATH,0
Tamil Nadu,DOWRY DEATH,187
Tripura,DOWRY DEATH,35
Uttar Pradesh,DOWRY DEATH,1798
Uttarakhand,DOWRY DEATH,80
West Bengal,DOWRY DEATH,445
A&N Islands,DOWRY DEATH,0
Chandigarh,DOWRY DEATH,10
D&N Haveli,DOWRY DEATH,1
Daman & Diu,DOWRY DEATH,0
Delhi UT,DOWRY DEATH,137
Lakshadweep,DOWRY DEATH,0
Puducherry,DOWRY DEATH,3
ALL INDIA,DOWRY DEATH,7618
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4534
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,63
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1290
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,530
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1598
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,18
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,736
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,486
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,275
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,960
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,414
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1683
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2543
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6243
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3479
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,42
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,57
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,51
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2415
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,314
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2582
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,14
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1179
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,207
