States/UTs,Crime Head,2010
Andhra Pradesh,RAPE,1362
Arunachal Pradesh,RAPE,47
Assam,RAPE,1721
Bihar,RAPE,795
Chhattisgarh,RAPE,1012
Goa,RAPE,36
Gujarat,RAPE,408
Haryana,RAPE,720
Himachal Pradesh,RAPE,160
Jammu & Kashmir,RAPE,245
Jharkhand,RAPE,773
Karnataka,RAPE,586
Kerala,RAPE,634
Madhya Pradesh,RAPE,3135
Maharashtra,RAPE,1599
Manipur,RAPE,34
Meghalaya,RAPE,149
Mizoram,RAPE,92
Nagaland,RAPE,16
Odisha,RAPE,1025
Punjab,RAPE,546
Rajasthan,RAPE,1571
Sikkim,RAPE,18
Tamil Nadu,RAPE,686
Tripura,RAPE,238
Uttar Pradesh,RAPE,1563
Uttarakhand,RAPE,121
West Bengal,RAPE,2311
A&N Islands,RAPE,24
Chandigarh,RAPE,31
D&N Haveli,RAPE,3
Daman & Diu,RAPE,1
Delhi UT,RAPE,507
Lakshadweep,RAPE,0
Puducherry,RAPE,3
All India,RAPE,22172
Andhra Pradesh,KIDNAPPING & ABDUCTION,1531
Arunachal Pradesh,KIDNAPPING & ABDUCTION,46
Assam,KIDNAPPING & ABDUCTION,2767
Bihar,KIDNAPPING & ABDUCTION,2569
Chhattisgarh,KIDNAPPING & ABDUCTION,279
Goa,KIDNAPPING & ABDUCTION,18
Gujarat,KIDNAPPING & ABDUCTION,1290
Haryana,KIDNAPPING & ABDUCTION,714
Himachal Pradesh,KIDNAPPING & ABDUCTION,162
Jammu & Kashmir,KIDNAPPING & ABDUCTION,840
Jharkhand,KIDNAPPING & ABDUCTION,696
Karnataka,KIDNAPPING & ABDUCTION,586
Kerala,KIDNAPPING & ABDUCTION,184
Madhya Pradesh,KIDNAPPING & ABDUCTION,1030
Maharashtra,KIDNAPPING & ABDUCTION,1124
Manipur,KIDNAPPING & ABDUCTION,107
Meghalaya,KIDNAPPING & ABDUCTION,37
Mizoram,KIDNAPPING & ABDUCTION,0
Nagaland,KIDNAPPING & ABDUCTION,6
Odisha,KIDNAPPING & ABDUCTION,912
Punjab,KIDNAPPING & ABDUCTION,576
Rajasthan,KIDNAPPING & ABDUCTION,2477
Sikkim,KIDNAPPING & ABDUCTION,6
Tamil Nadu,KIDNAPPING & ABDUCTION,1464
Tripura,KIDNAPPING & ABDUCTION,91
Uttar Pradesh,KIDNAPPING & ABDUCTION,5468
Uttarakhand,KIDNAPPING & ABDUCTION,249
West Bengal,KIDNAPPING & ABDUCTION,2764
A&N Islands,KIDNAPPING & ABDUCTION,8
Chandigarh,KIDNAPPING & ABDUCTION,28
D&N Haveli,KIDNAPPING & ABDUCTION,10
Daman & Diu,KIDNAPPING & ABDUCTION,2
Delhi UT,KIDNAPPING & ABDUCTION,1740
Lakshadweep,KIDNAPPING & ABDUCTION,0
Puducherry,KIDNAPPING & ABDUCTION,14
ALL INDIA K&A,KIDNAPPING & ABDUCTION,29795
Andhra Pradesh,DOWRY DEATH,588
Arunachal Pradesh,DOWRY DEATH,0
Assam,DOWRY DEATH,175
Bihar,DOWRY DEATH,1257
Chhattisgarh,DOWRY DEATH,115
Goa,DOWRY DEATH,1
Gujarat,DOWRY DEATH,19
Haryana,DOWRY DEATH,284
Himachal Pradesh,DOWRY DEATH,2
Jammu & Kashmir,DOWRY DEATH,9
Jharkhand,DOWRY DEATH,276
Karnataka,DOWRY DEATH,248
Kerala,DOWRY DEATH,22
Madhya Pradesh,DOWRY DEATH,892
Maharashtra,DOWRY DEATH,393
Manipur,DOWRY DEATH,0
Meghalaya,DOWRY DEATH,0
Mizoram,DOWRY DEATH,0
Nagaland,DOWRY DEATH,0
Odisha,DOWRY DEATH,388
Punjab,DOWRY DEATH,121
Rajasthan,DOWRY DEATH,462
Sikkim,DOWRY DEATH,1
Tamil Nadu,DOWRY DEATH,165
Tripura,DOWRY DEATH,25
