States/UTs,Crime Head,2005
Andhra Pradesh,RAPE,935
Arunachal Pradesh,RAPE,35
Assam,RAPE,1238
Bihar,RAPE,1147
Chhattisgarh,RAPE,990
Goa,RAPE,20
Gujarat,RAPE,324
Haryana,RAPE,461
Himachal Pradesh,RAPE,141
Jammu & Kashmir,RAPE,201
Jharkhand,RAPE,753
Karnataka,RAPE,343
Kerala,RAPE,478
Madhya Pradesh,RAPE,2921
Maharashtra,RAPE,1545
Manipur,RAPE,25
Meghalaya,RAPE,63
Mizoram,RAPE,37
Nagaland,RAPE,17
Odisha,RAPE,799
Punjab,RAPE,398
Rajasthan,RAPE,993
Sikkim,RAPE,18
Tamil Nadu,RAPE,571
Tripura,RAPE,162
Uttar Pradesh,RAPE,1217
Uttarakhand,RAPE,133
West Bengal,RAPE,1686
A&N Islands,RAPE,4
Chandigarh,RAPE,33
D&N Haveli,RAPE,5
Daman & Diu,RAPE,2
Delhi UT,RAPE,658
Lakshadweep,RAPE,0
Puducherry,RAPE,6
All India,RAPE,18359
Andhra Pradesh,KIDNAPPING & ABDUCTION,995
Arunachal Pradesh,KIDNAPPING & ABDUCTION,39
Assam,KIDNAPPING & ABDUCTION,1456
Bihar,KIDNAPPING & ABDUCTION,929
Chhattisgarh,KIDNAPPING & ABDUCTION,184
Goa,KIDNAPPING & ABDUCTION,12
Gujarat,KIDNAPPING & ABDUCTION,916
Haryana,KIDNAPPING & ABDUCTION,344
Himachal Pradesh,KIDNAPPING & ABDUCTION,102
Jammu & Kashmir,KIDNAPPING & ABDUCTION,658
Jharkhand,KIDNAPPING & ABDUCTION,283
Karnataka,KIDNAPPING & ABDUCTION,312
Kerala,KIDNAPPING & ABDUCTION,129
Madhya Pradesh,KIDNAPPING & ABDUCTION,604
Maharashtra,KIDNAPPING & ABDUCTION,851
Manipur,KIDNAPPING & ABDUCTION,69
Meghalaya,KIDNAPPING & ABDUCTION,19
Mizoram,KIDNAPPING & ABDUCTION,0
Nagaland,KIDNAPPING & ABDUCTION,9
