States/UTs,Crime Head,2008
Arunachal Pradesh,DOWRY DEATH,0
Assam,DOWRY DEATH,103
Bihar,DOWRY DEATH,1210
Chhattisgarh,DOWRY DEATH,106
Goa,DOWRY DEATH,2
Gujarat,DOWRY DEATH,27
Haryana,DOWRY DEATH,302
Himachal Pradesh,DOWRY DEATH,3
Jammu & Kashmir,DOWRY DEATH,21
Jharkhand,DOWRY DEATH,266
Karnataka,DOWRY DEATH,259
Kerala,DOWRY DEATH,31
Madhya Pradesh,DOWRY DEATH,805
Maharashtra,DOWRY DEATH,390
Manipur,DOWRY DEATH,1
Meghalaya,DOWRY DEATH,2
Mizoram,DOWRY DEATH,0
Nagaland,DOWRY DEATH,0
Odisha,DOWRY DEATH,401
Punjab,DOWRY DEATH,128
Rajasthan,DOWRY DEATH,439
Sikkim,DOWRY DEATH,0
Tamil Nadu,DOWRY DEATH,207
Tripura,DOWRY DEATH,16
Uttar Pradesh,DOWRY DEATH,2237
Uttarakhand,DOWRY DEATH,73
West Bengal,DOWRY DEATH,451
A&N Islands,DOWRY DEATH,2
Chandigarh,DOWRY DEATH,3
D&N Haveli,DOWRY DEATH,0
Daman & Diu,DOWRY DEATH,0
Delhi UT,DOWRY DEATH,129
Lakshadweep,DOWRY DEATH,0
Puducherry,DOWRY DEATH,2
ALL INDIA,DOWRY DEATH,8172
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4730
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,72
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1272
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,999
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1621
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,32
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,828
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,435
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,295
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,935
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,271
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1954
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2745
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6445
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3619
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,57
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,54
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,78
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,15
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2782
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,388
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2520
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1705
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,346
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2955
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,120
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2396
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,24
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,611
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,65
All India,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,40413
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,3551
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,1
Assam,INSULT TO THE MODESTY OF WOMEN,2
Bihar,INSULT TO THE MODESTY OF WOMEN,21
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,125
Goa,INSULT TO THE MODESTY OF WOMEN,12
Gujarat,INSULT TO THE MODESTY OF WOMEN,122
Haryana,INSULT TO THE MODESTY OF WOMEN,605
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,41
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,296
Jharkhand,INSULT TO THE MODESTY OF WOMEN,23
Karnataka,INSULT TO THE MODESTY OF WOMEN,44
Kerala,INSULT TO THE MODESTY OF WOMEN,258
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,758
Maharashtra,INSULT TO THE MODESTY OF WOMEN,1091
Manipur,INSULT TO THE MODESTY OF WOMEN,0
Meghalaya,INSULT TO THE MODESTY OF WOMEN,4
Mizoram,INSULT TO THE MODESTY OF WOMEN,0
Nagaland,INSULT TO THE MODESTY OF WOMEN,1
Odisha,INSULT TO THE MODESTY OF WOMEN,282
Punjab,INSULT TO THE MODESTY OF WOMEN,49
Rajasthan,INSULT TO THE MODESTY OF WOMEN,19
Sikkim,INSULT TO THE MODESTY OF WOMEN,0
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,974
Tripura,INSULT TO THE MODESTY OF WOMEN,4
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,3374
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,306
West Bengal,INSULT TO THE MODESTY OF WOMEN,94
A&N Islands,INSULT TO THE MODESTY OF WOMEN,3
Chandigarh,INSULT TO THE MODESTY OF WOMEN,2
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,0
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,1
Delhi UT,INSULT TO THE MODESTY OF WOMEN,130
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,0
Puducherry,INSULT TO THE MODESTY OF WOMEN,21
All India,INSULT TO THE MODESTY OF WOMEN,12214
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,10306
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,13
Assam,CRUELTY BY HUSBAND OR RELATIVES,3478
Bihar,CRUELTY BY HUSBAND OR RELATIVES,1992
Chhattisgarh,CRUELTY BY HUSBAND OR RELATIVES,897
Goa,CRUELTY BY HUSBAND OR RELATIVES,12
Gujarat,CRUELTY BY HUSBAND OR RELATIVES,6094
Haryana,CRUELTY BY HUSBAND OR RELATIVES,2435
Himachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,343
Jammu & Kashmir,CRUELTY BY HUSBAND OR RELATIVES,162
Jharkhand,CRUELTY BY HUSBAND OR RELATIVES,851
Karnataka,CRUELTY BY HUSBAND OR RELATIVES,2638
Kerala,CRUELTY BY HUSBAND OR RELATIVES,4138
Madhya Pradesh,CRUELTY BY HUSBAND OR RELATIVES,3185
Maharashtra,CRUELTY BY HUSBAND OR RELATIVES,7829
Manipur,CRUELTY BY HUSBAND OR RELATIVES,28
Meghalaya,CRUELTY BY HUSBAND OR RELATIVES,32
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,5
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,4
Odisha,CRUELTY BY HUSBAND OR RELATIVES,1618
Punjab,CRUELTY BY HUSBAND OR RELATIVES,984
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,8113
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,5
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,1648
Tripura,CRUELTY BY HUSBAND OR RELATIVES,735
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,8312
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,340
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,13663
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,26
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,49
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,4
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,5
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,1387
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,1
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,12
All India,CRUELTY BY HUSBAND OR RELATIVES,81344
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,357
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,27
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,39
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,4
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,14
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,52
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,77
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,1
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,4
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,8
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,516
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,187
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,10
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,327
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,0
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,3
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,1
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,1
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,29
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,43
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,72
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,0
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,687
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,0
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,57
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,3
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,62
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,0
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,7
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,3
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,6
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,60
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,3
All India,IMMORAL TRAFFIC(PREVENTION)ACT,2660
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,889
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,19
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,107
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,4
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1025
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,24111
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,175
Assam,TOTAL CRIMES AGAINST WOMEN,8122
Bihar,TOTAL CRIMES AGAINST WOMEN,8662
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,3962
Goa,TOTAL CRIMES AGAINST WOMEN,130
Gujarat,TOTAL CRIMES AGAINST WOMEN,8616
Haryana,TOTAL CRIMES AGAINST WOMEN,5142
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,979
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,2295
Jharkhand,TOTAL CRIMES AGAINST WOMEN,3183
Karnataka,TOTAL CRIMES AGAINST WOMEN,6891
Kerala,TOTAL CRIMES AGAINST WOMEN,8117
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,14908
Maharashtra,TOTAL CRIMES AGAINST WOMEN,15862
Manipur,TOTAL CRIMES AGAINST WOMEN,211
Meghalaya,TOTAL CRIMES AGAINST WOMEN,208
Mizoram,TOTAL CRIMES AGAINST WOMEN,162
Nagaland,TOTAL CRIMES AGAINST WOMEN,47
Odisha,TOTAL CRIMES AGAINST WOMEN,8303
Punjab,TOTAL CRIMES AGAINST WOMEN,2627
Rajasthan,TOTAL CRIMES AGAINST WOMEN,14491
Sikkim,TOTAL CRIMES AGAINST WOMEN,48
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,7220
Tripura,TOTAL CRIMES AGAINST WOMEN,1416
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,23569
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,1151
West Bengal,TOTAL CRIMES AGAINST WOMEN,20912
A&N Islands,TOTAL CRIMES AGAINST WOMEN,80
Chandigarh,TOTAL CRIMES AGAINST WOMEN,143
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,28
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,15
Delhi UT,TOTAL CRIMES AGAINST WOMEN,3938
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,4
Puducherry,TOTAL CRIMES AGAINST WOMEN,129
TOTAL Crime against Women,TOTAL CRIMES AGAINST WOMEN,195857
