States/UTs,Crime Head,2008
Andhra Pradesh,RAPE,1257
Arunachal Pradesh,RAPE,42
Assam,RAPE,1438
Bihar,RAPE,1302
Chhattisgarh,RAPE,978
Goa,RAPE,30
Gujarat,RAPE,374
Haryana,RAPE,631
Himachal Pradesh,RAPE,157
Jammu & Kashmir,RAPE,219
Jharkhand,RAPE,791
Karnataka,RAPE,446
Kerala,RAPE,568
Madhya Pradesh,RAPE,2937
Maharashtra,RAPE,1558
Manipur,RAPE,38
Meghalaya,RAPE,88
Mizoram,RAPE,77
Nagaland,RAPE,19
Odisha,RAPE,1113
Punjab,RAPE,517
Rajasthan,RAPE,1355
Sikkim,RAPE,20
Tamil Nadu,RAPE,573
Tripura,RAPE,204
Uttar Pradesh,RAPE,1871
Uttarakhand,RAPE,87
West Bengal,RAPE,2263
A&N Islands,RAPE,12
Chandigarh,RAPE,20
D&N Haveli,RAPE,6
Daman & Diu,RAPE,0
Delhi UT,RAPE,466
Lakshadweep,RAPE,2
Puducherry,RAPE,8
All India,RAPE,21467
Andhra Pradesh,KIDNAPPING & ABDUCTION,1396
Arunachal Pradesh,KIDNAPPING & ABDUCTION,47
Assam,KIDNAPPING & ABDUCTION,1789
Bihar,KIDNAPPING & ABDUCTION,1789
Chhattisgarh,KIDNAPPING & ABDUCTION,216
Goa,KIDNAPPING & ABDUCTION,28
Gujarat,KIDNAPPING & ABDUCTION,1119
Haryana,KIDNAPPING & ABDUCTION,644
Himachal Pradesh,KIDNAPPING & ABDUCTION,137
Jammu & Kashmir,KIDNAPPING & ABDUCTION,656
Jharkhand,KIDNAPPING & ABDUCTION,499
Karnataka,KIDNAPPING & ABDUCTION,405
Kerala,KIDNAPPING & ABDUCTION,166
Madhya Pradesh,KIDNAPPING & ABDUCTION,736
Maharashtra,KIDNAPPING & ABDUCTION,998
Manipur,KIDNAPPING & ABDUCTION,87
Meghalaya,KIDNAPPING & ABDUCTION,25
Mizoram,KIDNAPPING & ABDUCTION,1
Nagaland,KIDNAPPING & ABDUCTION,7
Odisha,KIDNAPPING & ABDUCTION,762
Punjab,KIDNAPPING & ABDUCTION,514
Rajasthan,KIDNAPPING & ABDUCTION,1863
Sikkim,KIDNAPPING & ABDUCTION,4
Tamil Nadu,KIDNAPPING & ABDUCTION,1160
Tripura,KIDNAPPING & ABDUCTION,110
Uttar Pradesh,KIDNAPPING & ABDUCTION,4439
Uttarakhand,KIDNAPPING & ABDUCTION,222
West Bengal,KIDNAPPING & ABDUCTION,1907
A&N Islands,KIDNAPPING & ABDUCTION,13
Chandigarh,KIDNAPPING & ABDUCTION,42
D&N Haveli,KIDNAPPING & ABDUCTION,11
Daman & Diu,KIDNAPPING & ABDUCTION,1
Delhi UT,KIDNAPPING & ABDUCTION,1136
Lakshadweep,KIDNAPPING & ABDUCTION,1
Puducherry,KIDNAPPING & ABDUCTION,9
ALL INDIA K&A,KIDNAPPING & ABDUCTION,22939
Andhra Pradesh,DOWRY DEATH,556
