States/UTs,Crime Head,2009
Andhra Pradesh,RAPE,1188
Arunachal Pradesh,RAPE,59
Assam,RAPE,1631
Bihar,RAPE,929
Chhattisgarh,RAPE,976
Goa,RAPE,47
Gujarat,RAPE,433
Haryana,RAPE,603
Himachal Pradesh,RAPE,183
Jammu & Kashmir,RAPE,237
Jharkhand,RAPE,719
Karnataka,RAPE,509
Kerala,RAPE,568
Madhya Pradesh,RAPE,2998
Maharashtra,RAPE,1483
Manipur,RAPE,31
Meghalaya,RAPE,112
Mizoram,RAPE,83
Nagaland,RAPE,22
Odisha,RAPE,1023
Punjab,RAPE,511
Rajasthan,RAPE,1519
Sikkim,RAPE,18
Tamil Nadu,RAPE,596
Tripura,RAPE,190
Uttar Pradesh,RAPE,1759
Uttarakhand,RAPE,111
West Bengal,RAPE,2336
A&N Islands,RAPE,18
Chandigarh,RAPE,29
D&N Haveli,RAPE,4
Daman & Diu,RAPE,1
Delhi UT,RAPE,469
Lakshadweep,RAPE,1
Puducherry,RAPE,1
All India,RAPE,21397
Andhra Pradesh,KIDNAPPING & ABDUCTION,1526
Arunachal Pradesh,KIDNAPPING & ABDUCTION,28
Assam,KIDNAPPING & ABDUCTION,2092
Bihar,KIDNAPPING & ABDUCTION,1986
Chhattisgarh,KIDNAPPING & ABDUCTION,229
Goa,KIDNAPPING & ABDUCTION,22
Gujarat,KIDNAPPING & ABDUCTION,1162
Haryana,KIDNAPPING & ABDUCTION,659
Himachal Pradesh,KIDNAPPING & ABDUCTION,122
Jammu & Kashmir,KIDNAPPING & ABDUCTION,825
Jharkhand,KIDNAPPING & ABDUCTION,517
Karnataka,KIDNAPPING & ABDUCTION,408
Kerala,KIDNAPPING & ABDUCTION,173
Madhya Pradesh,KIDNAPPING & ABDUCTION,841
Maharashtra,KIDNAPPING & ABDUCTION,926
Manipur,KIDNAPPING & ABDUCTION,97
Meghalaya,KIDNAPPING & ABDUCTION,26
Mizoram,KIDNAPPING & ABDUCTION,0
Nagaland,KIDNAPPING & ABDUCTION,10
Odisha,KIDNAPPING & ABDUCTION,799
Punjab,KIDNAPPING & ABDUCTION,513
Rajasthan,KIDNAPPING & ABDUCTION,2310
Sikkim,KIDNAPPING & ABDUCTION,6
Tamil Nadu,KIDNAPPING & ABDUCTION,1133
Tripura,KIDNAPPING & ABDUCTION,92
Uttar Pradesh,KIDNAPPING & ABDUCTION,5078
Uttarakhand,KIDNAPPING & ABDUCTION,247
West Bengal,KIDNAPPING & ABDUCTION,2187
A&N Islands,KIDNAPPING & ABDUCTION,14
Chandigarh,KIDNAPPING & ABDUCTION,36
D&N Haveli,KIDNAPPING & ABDUCTION,9
Daman & Diu,KIDNAPPING & ABDUCTION,0
Delhi UT,KIDNAPPING & ABDUCTION,1655
Lakshadweep,KIDNAPPING & ABDUCTION,0
Puducherry,KIDNAPPING & ABDUCTION,13
ALL INDIA K&A,KIDNAPPING & ABDUCTION,25741
Andhra Pradesh,DOWRY DEATH,546
Arunachal Pradesh,DOWRY DEATH,0
Assam,DOWRY DEATH,170
Bihar,DOWRY DEATH,1295
Chhattisgarh,DOWRY DEATH,128
Goa,DOWRY DEATH,3
Gujarat,DOWRY DEATH,24
Haryana,DOWRY DEATH,281
Himachal Pradesh,DOWRY DEATH,1
Jammu & Kashmir,DOWRY DEATH,12
Jharkhand,DOWRY DEATH,295
Karnataka,DOWRY DEATH,264
Kerala,DOWRY DEATH,20
Madhya Pradesh,DOWRY DEATH,858
Maharashtra,DOWRY DEATH,341
Manipur,DOWRY DEATH,0
Meghalaya,DOWRY DEATH,0
Mizoram,DOWRY DEATH,0
Nagaland,DOWRY DEATH,0
Odisha,DOWRY DEATH,384
Punjab,DOWRY DEATH,126
Rajasthan,DOWRY DEATH,436
Sikkim,DOWRY DEATH,0
Tamil Nadu,DOWRY DEATH,194
Tripura,DOWRY DEATH,29
Uttar Pradesh,DOWRY DEATH,2232
Uttarakhand,DOWRY DEATH,94
West Bengal,DOWRY DEATH,506
A&N Islands,DOWRY DEATH,1
Chandigarh,DOWRY DEATH,2
D&N Haveli,DOWRY DEATH,0
Daman & Diu,DOWRY DEATH,0
Delhi UT,DOWRY DEATH,141
Lakshadweep,DOWRY DEATH,0
Puducherry,DOWRY DEATH,0
ALL INDIA,DOWRY DEATH,8383
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5147
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,58
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1342
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,726
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1598
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,37
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,727
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,451
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,318
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,972
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,276
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2186
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2540
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6307
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3196
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,39
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,72
