States/UTs,Crime Head,2004
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,40
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1861
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,134
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1900
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,143
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1566
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,20
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,601
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,50
All India,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,34567
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,2310
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,0
Assam,INSULT TO THE MODESTY OF WOMEN,11
Bihar,INSULT TO THE MODESTY OF WOMEN,13
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,131
Goa,INSULT TO THE MODESTY OF WOMEN,15
Gujarat,INSULT TO THE MODESTY OF WOMEN,164
Haryana,INSULT TO THE MODESTY OF WOMEN,850
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,16
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,264
Jharkhand,INSULT TO THE MODESTY OF WOMEN,3
Karnataka,INSULT TO THE MODESTY OF WOMEN,57
Kerala,INSULT TO THE MODESTY OF WOMEN,133
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,804
Maharashtra,INSULT TO THE MODESTY OF WOMEN,862
Manipur,INSULT TO THE MODESTY OF WOMEN,0
Meghalaya,INSULT TO THE MODESTY OF WOMEN,0
Mizoram,INSULT TO THE MODESTY OF WOMEN,0
Nagaland,INSULT TO THE MODESTY OF WOMEN,1
Odisha,INSULT TO THE MODESTY OF WOMEN,170
Punjab,INSULT TO THE MODESTY OF WOMEN,38
Rajasthan,INSULT TO THE MODESTY OF WOMEN,41
Sikkim,INSULT TO THE MODESTY OF WOMEN,0
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,1081
Tripura,INSULT TO THE MODESTY OF WOMEN,0
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,2682
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,110
West Bengal,INSULT TO THE MODESTY OF WOMEN,64
A&N Islands,INSULT TO THE MODESTY OF WOMEN,3
Chandigarh,INSULT TO THE MODESTY OF WOMEN,18
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,0
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,0
Delhi UT,INSULT TO THE MODESTY OF WOMEN,130
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,0
Puducherry,INSULT TO THE MODESTY OF WOMEN,30
All India,INSULT TO THE MODESTY OF WOMEN,10001
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,8388
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,4
Assam,CRUELTY BY HUSBAND OR RELATIVES,1945
Bihar,CRUELTY BY HUSBAND OR RELATIVES,2679
Chhattisgarh,CRUELTY BY HUSBAND OR RELATIVES,741
Goa,CRUELTY BY HUSBAND OR RELATIVES,17
Gujarat,CRUELTY BY HUSBAND OR RELATIVES,3955
Haryana,CRUELTY BY HUSBAND OR RELATIVES,2026
Himachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,252
Jammu & Kashmir,CRUELTY BY HUSBAND OR RELATIVES,82
Jharkhand,CRUELTY BY HUSBAND OR RELATIVES,588
Karnataka,CRUELTY BY HUSBAND OR RELATIVES,1588
Kerala,CRUELTY BY HUSBAND OR RELATIVES,3222
Madhya Pradesh,CRUELTY BY HUSBAND OR RELATIVES,3436
Maharashtra,CRUELTY BY HUSBAND OR RELATIVES,5646
Manipur,CRUELTY BY HUSBAND OR RELATIVES,2
Meghalaya,CRUELTY BY HUSBAND OR RELATIVES,5
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,0
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,0
Odisha,CRUELTY BY HUSBAND OR RELATIVES,1192
Punjab,CRUELTY BY HUSBAND OR RELATIVES,801
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,6781
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,1
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,1437
Tripura,CRUELTY BY HUSBAND OR RELATIVES,302
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,4950
