State,Crime_Head,Year,Count
Bihar,Dowry Deaths,2013,1182
Chhattisgarh,Dowry Deaths,2013,109
Goa,Dowry Deaths,2013,0
Gujarat,Dowry Deaths,2013,29
Haryana,Dowry Deaths,2013,263
Himachal Pradesh,Dowry Deaths,2013,0
Jammu & Kashmir,Dowry Deaths,2013,7
Jharkhand,Dowry Deaths,2013,307
Karnataka,Dowry Deaths,2013,277
Kerala,Dowry Deaths,2013,21
Madhya Pradesh,Dowry Deaths,2013,776
Maharashtra,Dowry Deaths,2013,320
Manipur,Dowry Deaths,2013,0
Meghalaya,Dowry Deaths,2013,2
Mizoram,Dowry Deaths,2013,0
Nagaland,Dowry Deaths,2013,1
Odisha,Dowry Deaths,2013,395
Punjab,Dowry Deaths,2013,126
Rajasthan,Dowry Deaths,2013,453
Sikkim,Dowry Deaths,2013,0
Tamil Nadu,Dowry Deaths,2013,118
Tripura,Dowry Deaths,2013,29
Uttar Pradesh,Dowry Deaths,2013,2335
Uttarakhand,Dowry Deaths,2013,43
West Bengal,Dowry Deaths,2013,481
Total (State),Dowry Deaths,2013,7936
A&N Islands,Dowry Deaths,2013,1
Chandigarh,Dowry Deaths,2013,1
D&N Haveli,Dowry Deaths,2013,0
Daman & Diu,Dowry Deaths,2013,0
Delhi UT,Dowry Deaths,2013,144
Lakshadweep,Dowry Deaths,2013,0
Puducherry,Dowry Deaths,2013,1
Total (UTs),Dowry Deaths,2013,147
Total (All-India),Dowry Deaths,2013,8083
Andhra Pradesh,Dowry Prohibition Act,2013,1631
Arunachal Pradesh,Dowry Prohibition Act,2013,0
Assam,Dowry Prohibition Act,2013,40
Bihar,Dowry Prohibition Act,2013,1893
Chhattisgarh,Dowry Prohibition Act,2013,11
Goa,Dowry Prohibition Act,2013,0
Gujarat,Dowry Prohibition Act,2013,84
Haryana,Dowry Prohibition Act,2013,13
Himachal Pradesh,Dowry Prohibition Act,2013,2
Jammu & Kashmir,Dowry Prohibition Act,2013,3
Jharkhand,Dowry Prohibition Act,2013,1428
Karnataka,Dowry Prohibition Act,2013,1693
Kerala,Dowry Prohibition Act,2013,3
Madhya Pradesh,Dowry Prohibition Act,2013,72
Maharashtra,Dowry Prohibition Act,2013,43
Manipur,Dowry Prohibition Act,2013,0
Meghalaya,Dowry Prohibition Act,2013,0
Mizoram,Dowry Prohibition Act,2013,0
Nagaland,Dowry Prohibition Act,2013,0
Odisha,Dowry Prohibition Act,2013,2014
Punjab,Dowry Prohibition Act,2013,3
Rajasthan,Dowry Prohibition Act,2013,57
Sikkim,Dowry Prohibition Act,2013,0
Tamil Nadu,Dowry Prohibition Act,2013,305
Tripura,Dowry Prohibition Act,2013,1
Uttar Pradesh,Dowry Prohibition Act,2013,1277
Uttarakhand,Dowry Prohibition Act,2013,0
West Bengal,Dowry Prohibition Act,2013,107
Total (State),Dowry Prohibition Act,2013,10680
A&N Islands,Dowry Prohibition Act,2013,0
Chandigarh,Dowry Prohibition Act,2013,0
D&N Haveli,Dowry Prohibition Act,2013,0
Daman & Diu,Dowry Prohibition Act,2013,0
Delhi UT,Dowry Prohibition Act,2013,15
Lakshadweep,Dowry Prohibition Act,2013,0
Puducherry,Dowry Prohibition Act,2013,14
Total (UTs),Dowry Prohibition Act,2013,29
Total (All-India),Dowry Prohibition Act,2013,10709
Andhra Pradesh,Immoral Traffic (P) Act,2013,489
Arunachal Pradesh,Immoral Traffic (P) Act,2013,2
Assam,Immoral Traffic (P) Act,2013,18
Bihar,Immoral Traffic (P) Act,2013,64
Chhattisgarh,Immoral Traffic (P) Act,2013,8
Goa,Immoral Traffic (P) Act,2013,28
Gujarat,Immoral Traffic (P) Act,2013,76
Haryana,Immoral Traffic (P) Act,2013,63
Himachal Pradesh,Immoral Traffic (P) Act,2013,4
