State,Crime_Head,Year,Count
Uttarakhand,1.1 - Custodial Rape,2014,0
Uttarakhand,1.1.1 - Custodial_Gang Rape,2014,0
Uttarakhand,1.1.2 - Custodial_Other Rape,2014,0
Uttarakhand,1.2 - Rape other than Custodial,2014,270
Uttarakhand,1.2.1 - Rape_Gang Rape,2014,1
Uttarakhand,1.2.2 - Rape_Others,2014,269
Uttarakhand,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,41
Uttarakhand,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,275
Uttarakhand,3.1 - Kidnaping & Abduction Section 363 IPC,2014,62
Uttarakhand,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,1
Uttarakhand,3.3 - Kidnapping for Ransom Section 364A,2014,0
Uttarakhand,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,10
Uttarakhand,3.5 - Kidnapping & Abduction of Women-Other,2014,202
Uttarakhand,4 - Dowry Deaths (Section 304-B IPC),2014,38
Uttarakhand,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,343
Uttarakhand,5.1 - Sexual Harassment,2014,22
Uttarakhand,5.2 - Assault on women with intent to Disrobe,2014,24
Uttarakhand,5.3 - Voyeurism,2014,1
Uttarakhand,5.4 - Stalking,2014,7
Uttarakhand,5.5 - Others,2014,289
Uttarakhand,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,4
Uttarakhand,6.1 - At Office premises,2014,0
Uttarakhand,6.2 - Other places related to work,2014,0
Uttarakhand,6.3 - In Public Transport system,2014,0
Uttarakhand,6.4 - in Other Places,2014,4
Uttarakhand,7 - Cruelty by Husband or his Relatives (Section 498A),2014,301
Uttarakhand,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
Uttarakhand,9 - Abetment of Suicides of Women u/s 306 IPC,2014,0
Uttarakhand,"10 - Dowry Prohibition Act, 1961",2014,104
Uttarakhand,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0
Uttarakhand,12 - Commission of Sati Prevention Act 1987,2014,0
Uttarakhand,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0
Uttarakhand,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,19
Uttarakhand,14.1 - Under ITP Section 5,2014,12
Uttarakhand,14.2 - Under ITP Section 6,2014,0
Uttarakhand,14.3 - Under ITP Section 7,2014,0
Uttarakhand,14.4 - Under ITP Section 8,2014,0
Uttarakhand,14.5 - Other Sections under ITP Act,2014,7
Uttarakhand,15 - Total Crimes against Women,2014,1395
West Bengal,1 - Rape (Section 376 IPC),2014,1466
West Bengal,1.1 - Custodial Rape,2014,0
West Bengal,1.1.1 - Custodial_Gang Rape,2014,0
West Bengal,1.1.2 - Custodial_Other Rape,2014,0
West Bengal,1.2 - Rape other than Custodial,2014,1466
West Bengal,1.2.1 - Rape_Gang Rape,2014,178
West Bengal,1.2.2 - Rape_Others,2014,1288
West Bengal,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,1656
West Bengal,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,4976
West Bengal,3.1 - Kidnaping & Abduction Section 363 IPC,2014,1604
West Bengal,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,11
West Bengal,3.3 - Kidnapping for Ransom Section 364A,2014,36
West Bengal,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,1198
West Bengal,3.5 - Kidnapping & Abduction of Women-Other,2014,2127
West Bengal,4 - Dowry Deaths (Section 304-B IPC),2014,501
West Bengal,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,5670
West Bengal,5.1 - Sexual Harassment,2014,1045
West Bengal,5.2 - Assault on women with intent to Disrobe,2014,687
West Bengal,5.3 - Voyeurism,2014,57
West Bengal,5.4 - Stalking,2014,259
West Bengal,5.5 - Others,2014,3622
West Bengal,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,543
West Bengal,6.1 - At Office premises,2014,4
West Bengal,6.2 - Other places related to work,2014,5
West Bengal,6.3 - In Public Transport system,2014,8
West Bengal,6.4 - in Other Places,2014,526
West Bengal,7 - Cruelty by Husband or his Relatives (Section 498A),2014,23278
West Bengal,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,4
West Bengal,9 - Abetment of Suicides of Women u/s 306 IPC,2014,119
West Bengal,"10 - Dowry Prohibition Act, 1961",2014,1
West Bengal,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,4
West Bengal,12 - Commission of Sati Prevention Act 1987,2014,0
West Bengal,"13 - Protection of Women from Domestic Violence Act, 2005",2014,1
West Bengal,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,80
West Bengal,14.1 - Under ITP Section 5,2014,20
West Bengal,14.2 - Under ITP Section 6,2014,3
West Bengal,14.3 - Under ITP Section 7,2014,5
West Bengal,14.4 - Under ITP Section 8,2014,1
West Bengal,14.5 - Other Sections under ITP Act,2014,51
West Bengal,15 - Total Crimes against Women,2014,38299
A&N Islands,1 - Rape (Section 376 IPC),2014,32
A&N Islands,1.1 - Custodial Rape,2014,0
A&N Islands,1.1.1 - Custodial_Gang Rape,2014,0
A&N Islands,1.1.2 - Custodial_Other Rape,2014,0
A&N Islands,1.2 - Rape other than Custodial,2014,32
A&N Islands,1.2.1 - Rape_Gang Rape,2014,1
A&N Islands,1.2.2 - Rape_Others,2014,31
A&N Islands,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0
A&N Islands,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,17
A&N Islands,3.1 - Kidnaping & Abduction Section 363 IPC,2014,11
A&N Islands,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0
A&N Islands,3.3 - Kidnapping for Ransom Section 364A,2014,0
A&N Islands,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,0
A&N Islands,3.5 - Kidnapping & Abduction of Women-Other,2014,6
A&N Islands,4 - Dowry Deaths (Section 304-B IPC),2014,3
A&N Islands,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,41
A&N Islands,5.1 - Sexual Harassment,2014,18
A&N Islands,5.2 - Assault on women with intent to Disrobe,2014,1
A&N Islands,5.3 - Voyeurism,2014,1
A&N Islands,5.4 - Stalking,2014,4
A&N Islands,5.5 - Others,2014,17
A&N Islands,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,5
A&N Islands,6.1 - At Office premises,2014,0
A&N Islands,6.2 - Other places related to work,2014,0
A&N Islands,6.3 - In Public Transport system,2014,0
A&N Islands,6.4 - in Other Places,2014,5
A&N Islands,7 - Cruelty by Husband or his Relatives (Section 498A),2014,14
A&N Islands,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
A&N Islands,9 - Abetment of Suicides of Women u/s 306 IPC,2014,2
A&N Islands,"10 - Dowry Prohibition Act, 1961",2014,0
A&N Islands,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0
A&N Islands,12 - Commission of Sati Prevention Act 1987,2014,0
A&N Islands,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0
A&N Islands,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,1
A&N Islands,14.1 - Under ITP Section 5,2014,1
A&N Islands,14.2 - Under ITP Section 6,2014,0
A&N Islands,14.3 - Under ITP Section 7,2014,0
A&N Islands,14.4 - Under ITP Section 8,2014,0
A&N Islands,14.5 - Other Sections under ITP Act,2014,0
A&N Islands,15 - Total Crimes against Women,2014,115
Chandigarh,1 - Rape (Section 376 IPC),2014,59
Chandigarh,1.1 - Custodial Rape,2014,0
Chandigarh,1.1.1 - Custodial_Gang Rape,2014,0
Chandigarh,1.1.2 - Custodial_Other Rape,2014,0
Chandigarh,1.2 - Rape other than Custodial,2014,59
Chandigarh,1.2.1 - Rape_Gang Rape,2014,0
Chandigarh,1.2.2 - Rape_Others,2014,59
Chandigarh,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,6
Chandigarh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,133
Chandigarh,3.1 - Kidnaping & Abduction Section 363 IPC,2014,84
Chandigarh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0
Chandigarh,3.3 - Kidnapping for Ransom Section 364A,2014,0
Chandigarh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,43
Chandigarh,3.5 - Kidnapping & Abduction of Women-Other,2014,6
Chandigarh,4 - Dowry Deaths (Section 304-B IPC),2014,2
Chandigarh,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,87
Chandigarh,5.1 - Sexual Harassment,2014,31
Chandigarh,5.2 - Assault on women with intent to Disrobe,2014,3
Chandigarh,5.3 - Voyeurism,2014,2
Chandigarh,5.4 - Stalking,2014,10
Chandigarh,5.5 - Others,2014,41
Chandigarh,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,2
Chandigarh,6.1 - At Office premises,2014,0
Chandigarh,6.2 - Other places related to work,2014,0
Chandigarh,6.3 - In Public Transport system,2014,0
Chandigarh,6.4 - in Other Places,2014,2
Chandigarh,7 - Cruelty by Husband or his Relatives (Section 498A),2014,141
Chandigarh,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
Chandigarh,9 - Abetment of Suicides of Women u/s 306 IPC,2014,0
Chandigarh,"10 - Dowry Prohibition Act, 1961",2014,2
Chandigarh,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0
Chandigarh,12 - Commission of Sati Prevention Act 1987,2014,0
Chandigarh,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0
Chandigarh,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,0
Chandigarh,14.1 - Under ITP Section 5,2014,0
Chandigarh,14.2 - Under ITP Section 6,2014,0
Chandigarh,14.3 - Under ITP Section 7,2014,0
Chandigarh,14.4 - Under ITP Section 8,2014,0
Chandigarh,14.5 - Other Sections under ITP Act,2014,0
Chandigarh,15 - Total Crimes against Women,2014,432
D&N Haveli,1 - Rape (Section 376 IPC),2014,5
D&N Haveli,1.1 - Custodial Rape,2014,0
D&N Haveli,1.1.1 - Custodial_Gang Rape,2014,0
D&N Haveli,1.1.2 - Custodial_Other Rape,2014,0
D&N Haveli,1.2 - Rape other than Custodial,2014,5
D&N Haveli,1.2.1 - Rape_Gang Rape,2014,0
D&N Haveli,1.2.2 - Rape_Others,2014,5
D&N Haveli,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0
D&N Haveli,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,7
D&N Haveli,3.1 - Kidnaping & Abduction Section 363 IPC,2014,7
D&N Haveli,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0
D&N Haveli,3.3 - Kidnapping for Ransom Section 364A,2014,0
D&N Haveli,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,0
D&N Haveli,3.5 - Kidnapping & Abduction of Women-Other,2014,0
D&N Haveli,4 - Dowry Deaths (Section 304-B IPC),2014,0
D&N Haveli,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,2
D&N Haveli,5.1 - Sexual Harassment,2014,0
D&N Haveli,5.2 - Assault on women with intent to Disrobe,2014,0
D&N Haveli,5.3 - Voyeurism,2014,0
D&N Haveli,5.4 - Stalking,2014,0
D&N Haveli,5.5 - Others,2014,2
D&N Haveli,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,1
D&N Haveli,6.1 - At Office premises,2014,0
D&N Haveli,6.2 - Other places related to work,2014,0
D&N Haveli,6.3 - In Public Transport system,2014,0
D&N Haveli,6.4 - in Other Places,2014,1
D&N Haveli,7 - Cruelty by Husband or his Relatives (Section 498A),2014,6
D&N Haveli,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
D&N Haveli,9 - Abetment of Suicides of Women u/s 306 IPC,2014,0
D&N Haveli,"10 - Dowry Prohibition Act, 1961",2014,0
D&N Haveli,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0
D&N Haveli,12 - Commission of Sati Prevention Act 1987,2014,0
D&N Haveli,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0
D&N Haveli,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,0
D&N Haveli,14.1 - Under ITP Section 5,2014,0
D&N Haveli,14.2 - Under ITP Section 6,2014,0
D&N Haveli,14.3 - Under ITP Section 7,2014,0
D&N Haveli,14.4 - Under ITP Section 8,2014,0
D&N Haveli,14.5 - Other Sections under ITP Act,2014,0
D&N Haveli,15 - Total Crimes against Women,2014,21
Daman & Diu,1 - Rape (Section 376 IPC),2014,2
Daman & Diu,1.1 - Custodial Rape,2014,0
Daman & Diu,1.1.1 - Custodial_Gang Rape,2014,0
Daman & Diu,1.1.2 - Custodial_Other Rape,2014,0
Daman & Diu,1.2 - Rape other than Custodial,2014,2
Daman & Diu,1.2.1 - Rape_Gang Rape,2014,0
Daman & Diu,1.2.2 - Rape_Others,2014,2
Daman & Diu,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0
Daman & Diu,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,1
Daman & Diu,3.1 - Kidnaping & Abduction Section 363 IPC,2014,1
Daman & Diu,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0
Daman & Diu,3.3 - Kidnapping for Ransom Section 364A,2014,0
Daman & Diu,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,0
Daman & Diu,3.5 - Kidnapping & Abduction of Women-Other,2014,0
Daman & Diu,4 - Dowry Deaths (Section 304-B IPC),2014,0
Daman & Diu,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,3
Daman & Diu,5.1 - Sexual Harassment,2014,3
Daman & Diu,5.2 - Assault on women with intent to Disrobe,2014,0
Daman & Diu,5.3 - Voyeurism,2014,0
Daman & Diu,5.4 - Stalking,2014,0
Daman & Diu,5.5 - Others,2014,0
Daman & Diu,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,0
Daman & Diu,6.1 - At Office premises,2014,0
Daman & Diu,6.2 - Other places related to work,2014,0
Daman & Diu,6.3 - In Public Transport system,2014,0
Daman & Diu,6.4 - in Other Places,2014,0
Daman & Diu,7 - Cruelty by Husband or his Relatives (Section 498A),2014,1
Daman & Diu,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
Daman & Diu,9 - Abetment of Suicides of Women u/s 306 IPC,2014,0
Daman & Diu,"10 - Dowry Prohibition Act, 1961",2014,0
Daman & Diu,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0
Daman & Diu,12 - Commission of Sati Prevention Act 1987,2014,0
Daman & Diu,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0
Daman & Diu,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,8
Daman & Diu,14.1 - Under ITP Section 5,2014,8
Daman & Diu,14.2 - Under ITP Section 6,2014,0
Daman & Diu,14.3 - Under ITP Section 7,2014,0
Daman & Diu,14.4 - Under ITP Section 8,2014,0
Daman & Diu,14.5 - Other Sections under ITP Act,2014,0
Daman & Diu,15 - Total Crimes against Women,2014,15
Delhi UT,1 - Rape (Section 376 IPC),2014,2096
Delhi UT,1.1 - Custodial Rape,2014,0
Delhi UT,1.1.1 - Custodial_Gang Rape,2014,0
Delhi UT,1.1.2 - Custodial_Other Rape,2014,0
Delhi UT,1.2 - Rape other than Custodial,2014,2096
Delhi UT,1.2.1 - Rape_Gang Rape,2014,147
Delhi UT,1.2.2 - Rape_Others,2014,1949
Delhi UT,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,70
Delhi UT,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,4034
Delhi UT,3.1 - Kidnaping & Abduction Section 363 IPC,2014,3731
Delhi UT,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0
Delhi UT,3.3 - Kidnapping for Ransom Section 364A,2014,7
Delhi UT,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,2
Delhi UT,3.5 - Kidnapping & Abduction of Women-Other,2014,294
Delhi UT,4 - Dowry Deaths (Section 304-B IPC),2014,153
Delhi UT,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,4322
Delhi UT,5.1 - Sexual Harassment,2014,1186
Delhi UT,5.2 - Assault on women with intent to Disrobe,2014,379
Delhi UT,5.3 - Voyeurism,2014,34
Delhi UT,5.4 - Stalking,2014,541
Delhi UT,5.5 - Others,2014,2182
Delhi UT,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,1361
Delhi UT,6.1 - At Office premises,2014,11
Delhi UT,6.2 - Other places related to work,2014,25
Delhi UT,6.3 - In Public Transport system,2014,8
Delhi UT,6.4 - in Other Places,2014,1317
Delhi UT,7 - Cruelty by Husband or his Relatives (Section 498A),2014,3173
Delhi UT,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
Delhi UT,9 - Abetment of Suicides of Women u/s 306 IPC,2014,28
Delhi UT,"10 - Dowry Prohibition Act, 1961",2014,13
Delhi UT,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0
Delhi UT,12 - Commission of Sati Prevention Act 1987,2014,0
Delhi UT,"13 - Protection of Women from Domestic Violence Act, 2005",2014,7
Delhi UT,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,8
Delhi UT,14.1 - Under ITP Section 5,2014,6
Delhi UT,14.2 - Under ITP Section 6,2014,0
Delhi UT,14.3 - Under ITP Section 7,2014,0
Delhi UT,14.4 - Under ITP Section 8,2014,1
Delhi UT,14.5 - Other Sections under ITP Act,2014,1
Delhi UT,15 - Total Crimes against Women,2014,15265
Lakshadweep,1 - Rape (Section 376 IPC),2014,1
Lakshadweep,1.1 - Custodial Rape,2014,0
Lakshadweep,1.1.1 - Custodial_Gang Rape,2014,0
Lakshadweep,1.1.2 - Custodial_Other Rape,2014,0
Lakshadweep,1.2 - Rape other than Custodial,2014,1
Lakshadweep,1.2.1 - Rape_Gang Rape,2014,0
Lakshadweep,1.2.2 - Rape_Others,2014,1
Lakshadweep,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0
Lakshadweep,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,0
Lakshadweep,3.1 - Kidnaping & Abduction Section 363 IPC,2014,0
Lakshadweep,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0
Lakshadweep,3.3 - Kidnapping for Ransom Section 364A,2014,0
Lakshadweep,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,0
Lakshadweep,3.5 - Kidnapping & Abduction of Women-Other,2014,0
Lakshadweep,4 - Dowry Deaths (Section 304-B IPC),2014,0
Lakshadweep,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,1
Lakshadweep,5.1 - Sexual Harassment,2014,0
Lakshadweep,5.2 - Assault on women with intent to Disrobe,2014,0
Lakshadweep,5.3 - Voyeurism,2014,0
Lakshadweep,5.4 - Stalking,2014,0
Lakshadweep,5.5 - Others,2014,1
Lakshadweep,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,2
Lakshadweep,6.1 - At Office premises,2014,0
Lakshadweep,6.2 - Other places related to work,2014,0
Lakshadweep,6.3 - In Public Transport system,2014,0
Lakshadweep,6.4 - in Other Places,2014,2
Lakshadweep,7 - Cruelty by Husband or his Relatives (Section 498A),2014,0
Lakshadweep,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
Lakshadweep,9 - Abetment of Suicides of Women u/s 306 IPC,2014,0
Lakshadweep,"10 - Dowry Prohibition Act, 1961",2014,0
Lakshadweep,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0
Lakshadweep,12 - Commission of Sati Prevention Act 1987,2014,0
Lakshadweep,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0
Lakshadweep,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,0
Lakshadweep,14.1 - Under ITP Section 5,2014,0
Lakshadweep,14.2 - Under ITP Section 6,2014,0
Lakshadweep,14.3 - Under ITP Section 7,2014,0
Lakshadweep,14.4 - Under ITP Section 8,2014,0
Lakshadweep,14.5 - Other Sections under ITP Act,2014,0
Lakshadweep,15 - Total Crimes against Women,2014,4
Puducherry,1 - Rape (Section 376 IPC),2014,10
Puducherry,1.1 - Custodial Rape,2014,1
Puducherry,1.1.1 - Custodial_Gang Rape,2014,0
Puducherry,1.1.2 - Custodial_Other Rape,2014,1
Puducherry,1.2 - Rape other than Custodial,2014,9
Puducherry,1.2.1 - Rape_Gang Rape,2014,1
Puducherry,1.2.2 - Rape_Others,2014,8
Puducherry,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0
Puducherry,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,7
Puducherry,3.1 - Kidnaping & Abduction Section 363 IPC,2014,4
Puducherry,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0
Puducherry,3.3 - Kidnapping for Ransom Section 364A,2014,0
Puducherry,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,1
Puducherry,3.5 - Kidnapping & Abduction of Women-Other,2014,2
Puducherry,4 - Dowry Deaths (Section 304-B IPC),2014,1
Puducherry,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,32
Puducherry,5.1 - Sexual Harassment,2014,12
Puducherry,5.2 - Assault on women with intent to Disrobe,2014,6
Puducherry,5.3 - Voyeurism,2014,1
Puducherry,5.4 - Stalking,2014,1
Puducherry,5.5 - Others,2014,12
Puducherry,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,8
Puducherry,6.1 - At Office premises,2014,1
Puducherry,6.2 - Other places related to work,2014,2
Puducherry,6.3 - In Public Transport system,2014,0
Puducherry,6.4 - in Other Places,2014,5
Puducherry,7 - Cruelty by Husband or his Relatives (Section 498A),2014,4
Puducherry,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
Puducherry,9 - Abetment of Suicides of Women u/s 306 IPC,2014,0
Puducherry,"10 - Dowry Prohibition Act, 1961",2014,14
Puducherry,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0
Puducherry,12 - Commission of Sati Prevention Act 1987,2014,0
Puducherry,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0
Puducherry,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,1
Puducherry,14.1 - Under ITP Section 5,2014,0
Puducherry,14.2 - Under ITP Section 6,2014,1
Puducherry,14.3 - Under ITP Section 7,2014,0
Puducherry,14.4 - Under ITP Section 8,2014,0
Puducherry,14.5 - Other Sections under ITP Act,2014,0
Puducherry,15 - Total Crimes against Women,2014,77
Total (States),1 - Rape (Section 376 IPC),2014,34530
Total (States),1.1 - Custodial Rape,2014,197
Total (States),1.1.1 - Custodial_Gang Rape,2014,7
Total (States),1.1.2 - Custodial_Other Rape,2014,190
Total (States),1.2 - Rape other than Custodial,2014,34333
Total (States),1.2.1 - Rape_Gang Rape,2014,2197
Total (States),1.2.2 - Rape_Others,2014,32136
Total (States),2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,4158
Total (States),"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,53112
Total (States),3.1 - Kidnaping & Abduction Section 363 IPC,2014,13178
Total (States),3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,206
Total (States),3.3 - Kidnapping for Ransom Section 364A,2014,84
Total (States),3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,30828
Total (States),3.5 - Kidnapping & Abduction of Women-Other,2014,8816
Total (States),4 - Dowry Deaths (Section 304-B IPC),2014,8296
Total (States),5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,77747
Total (States),5.1 - Sexual Harassment,2014,20688
Total (States),5.2 - Assault on women with intent to Disrobe,2014,6023
Total (States),5.3 - Voyeurism,2014,636
Total (States),5.4 - Stalking,2014,4143
Total (States),5.5 - Others,2014,46257
Total (States),6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,8356
Total (States),6.1 - At Office premises,2014,45
Total (States),6.2 - Other places related to work,2014,442
Total (States),6.3 - In Public Transport system,2014,113
Total (States),6.4 - in Other Places,2014,7756
Total (States),7 - Cruelty by Husband or his Relatives (Section 498A),2014,119538
Total (States),8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,13
Total (States),9 - Abetment of Suicides of Women u/s 306 IPC,2014,3704
Total (States),"10 - Dowry Prohibition Act, 1961",2014,10021
Total (States),"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,47
Total (States),12 - Commission of Sati Prevention Act 1987,2014,0
Total (States),"13 - Protection of Women from Domestic Violence Act, 2005",2014,419
Total (States),14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,2052
Total (States),14.1 - Under ITP Section 5,2014,590
Total (States),14.2 - Under ITP Section 6,2014,80
Total (States),14.3 - Under ITP Section 7,2014,120
Total (States),14.4 - Under ITP Section 8,2014,103
Total (States),14.5 - Other Sections under ITP Act,2014,1159
Total (States),15 - Total Crimes against Women,2014,321993
Total (UTs),1 - Rape (Section 376 IPC),2014,2205
Total (UTs),1.1 - Custodial Rape,2014,1
Total (UTs),1.1.1 - Custodial_Gang Rape,2014,0
Total (UTs),1.1.2 - Custodial_Other Rape,2014,1
Total (UTs),1.2 - Rape other than Custodial,2014,2204
Total (UTs),1.2.1 - Rape_Gang Rape,2014,149
Total (UTs),1.2.2 - Rape_Others,2014,2055
Total (UTs),2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,76
Total (UTs),"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,4199
Total (UTs),3.1 - Kidnaping & Abduction Section 363 IPC,2014,3838
Total (UTs),3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0
Total (UTs),3.3 - Kidnapping for Ransom Section 364A,2014,7
Total (UTs),3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,46
Total (UTs),3.5 - Kidnapping & Abduction of Women-Other,2014,308
Total (UTs),4 - Dowry Deaths (Section 304-B IPC),2014,159
Total (UTs),5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,4488
Total (UTs),5.1 - Sexual Harassment,2014,1250
Total (UTs),5.2 - Assault on women with intent to Disrobe,2014,389
Total (UTs),5.3 - Voyeurism,2014,38
Total (UTs),5.4 - Stalking,2014,556
Total (UTs),5.5 - Others,2014,2255
Total (UTs),6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,1379
Total (UTs),6.1 - At Office premises,2014,12
Total (UTs),6.2 - Other places related to work,2014,27
Total (UTs),6.3 - In Public Transport system,2014,8
Total (UTs),6.4 - in Other Places,2014,1332
Total (UTs),7 - Cruelty by Husband or his Relatives (Section 498A),2014,3339
Total (UTs),8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
Total (UTs),9 - Abetment of Suicides of Women u/s 306 IPC,2014,30
Total (UTs),"10 - Dowry Prohibition Act, 1961",2014,29
Total (UTs),"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0
Total (UTs),12 - Commission of Sati Prevention Act 1987,2014,0
Total (UTs),"13 - Protection of Women from Domestic Violence Act, 2005",2014,7
Total (UTs),14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,18
Total (UTs),14.1 - Under ITP Section 5,2014,15
Total (UTs),14.2 - Under ITP Section 6,2014,1
Total (UTs),14.3 - Under ITP Section 7,2014,0
Total (UTs),14.4 - Under ITP Section 8,2014,1
Total (UTs),14.5 - Other Sections under ITP Act,2014,1
