State,Year,Crime_Head,Count
HARYANA,2003,K&A,271
HIMACHAL PRADESH,2003,K&A,96
JAMMU & KASHMIR,2003,K&A,615
JHARKHAND,2003,K&A,262
KARNATAKA,2003,K&A,244
KERALA,2003,K&A,102
MADHYA PRADESH,2003,K&A,608
MAHARASHTRA,2003,K&A,626
MANIPUR,2003,K&A,71
MEGHALAYA,2003,K&A,10
MIZORAM,2003,K&A,2
NAGALAND,2003,K&A,3
ODISHA,2003,K&A,373
PUNJAB,2003,K&A,295
RAJASTHAN,2003,K&A,1750
SIKKIM,2003,K&A,0
TAMIL NADU,2003,K&A,632
TRIPURA,2003,K&A,29
UTTAR PRADESH,2003,K&A,1499
UTTARAKHAND,2003,K&A,134
WEST BENGAL,2003,K&A,801
A & N ISLANDS,2003,K&A,2
CHANDIGARH,2003,K&A,28
D & N HAVELI,2003,K&A,4
DAMAN & DIU,2003,K&A,1
LAKSHADWEEP,2003,K&A,0
PUDUCHERRY,2003,K&A,13
ANDHRA PRADESH,2004,K&A,1030
ARUNACHAL PRADESH,2004,K&A,41
ASSAM,2004,K&A,1552
BIHAR,2004,K&A,997
CHHATTISGARH,2004,K&A,174
GOA,2004,K&A,10
GUJARAT,2004,K&A,905
HARYANA,2004,K&A,292
HIMACHAL PRADESH,2004,K&A,99
JAMMU & KASHMIR,2004,K&A,632
JHARKHAND,2004,K&A,178
KARNATAKA,2004,K&A,286
KERALA,2004,K&A,142
MADHYA PRADESH,2004,K&A,584
MAHARASHTRA,2004,K&A,787
MANIPUR,2004,K&A,71
MEGHALAYA,2004,K&A,18
MIZORAM,2004,K&A,0
NAGALAND,2004,K&A,4
ODISHA,2004,K&A,423
PUNJAB,2004,K&A,311
RAJASTHAN,2004,K&A,1881
SIKKIM,2004,K&A,4
TAMIL NADU,2004,K&A,692
TRIPURA,2004,K&A,54
UTTAR PRADESH,2004,K&A,2324
UTTARAKHAND,2004,K&A,127
WEST BENGAL,2004,K&A,1018
A & N ISLANDS,2004,K&A,3
CHANDIGARH,2004,K&A,43
D & N HAVELI,2004,K&A,7
DAMAN & DIU,2004,K&A,0
LAKSHADWEEP,2004,K&A,0
PUDUCHERRY,2004,K&A,8
ANDHRA PRADESH,2005,K&A,995
ARUNACHAL PRADESH,2005,K&A,39
ASSAM,2005,K&A,1456
BIHAR,2005,K&A,929
CHHATTISGARH,2005,K&A,184
GOA,2005,K&A,12
GUJARAT,2005,K&A,916
HARYANA,2005,K&A,344
HIMACHAL PRADESH,2005,K&A,102
JAMMU & KASHMIR,2005,K&A,658
JHARKHAND,2005,K&A,283
KARNATAKA,2005,K&A,312
KERALA,2005,K&A,129
MADHYA PRADESH,2005,K&A,604
MAHARASHTRA,2005,K&A,851
MANIPUR,2005,K&A,69
MEGHALAYA,2005,K&A,19
MIZORAM,2005,K&A,0
NAGALAND,2005,K&A,9
ODISHA,2005,K&A,547
PUNJAB,2005,K&A,329
RAJASTHAN,2005,K&A,1549
SIKKIM,2005,K&A,2
TAMIL NADU,2005,K&A,783
TRIPURA,2005,K&A,43
UTTAR PRADESH,2005,K&A,2256
UTTARAKHAND,2005,K&A,125
WEST BENGAL,2005,K&A,1039
A & N ISLANDS,2005,K&A,1
CHANDIGARH,2005,K&A,45
D & N HAVELI,2005,K&A,9
DAMAN & DIU,2005,K&A,2
LAKSHADWEEP,2005,K&A,0
PUDUCHERRY,2005,K&A,3
ANDHRA PRADESH,2006,K&A,1329
ARUNACHAL PRADESH,2006,K&A,51
ASSAM,2006,K&A,1544
BIHAR,2006,K&A,1084
CHHATTISGARH,2006,K&A,178
GOA,2006,K&A,10
GUJARAT,2006,K&A,945
HARYANA,2006,K&A,431
HIMACHAL PRADESH,2006,K&A,109
JAMMU & KASHMIR,2006,K&A,723
JHARKHAND,2006,K&A,410
KARNATAKA,2006,K&A,328
KERALA,2006,K&A,202
MADHYA PRADESH,2006,K&A,617
MAHARASHTRA,2006,K&A,921
MANIPUR,2006,K&A,79
MEGHALAYA,2006,K&A,25
MIZORAM,2006,K&A,1
NAGALAND,2006,K&A,3
ODISHA,2006,K&A,577
PUNJAB,2006,K&A,418
RAJASTHAN,2006,K&A,1553
SIKKIM,2006,K&A,7
TAMIL NADU,2006,K&A,718
TRIPURA,2006,K&A,62
UTTAR PRADESH,2006,K&A,2551
UTTARAKHAND,2006,K&A,183
WEST BENGAL,2006,K&A,1199
A & N ISLANDS,2006,K&A,5
CHANDIGARH,2006,K&A,57
D & N HAVELI,2006,K&A,14
DAMAN & DIU,2006,K&A,1
LAKSHADWEEP,2006,K&A,0
PUDUCHERRY,2006,K&A,13
ANDHRA PRADESH,2007,K&A,1564
ARUNACHAL PRADESH,2007,K&A,44
ASSAM,2007,K&A,1471
BIHAR,2007,K&A,1260
CHHATTISGARH,2007,K&A,181
GOA,2007,K&A,7
GUJARAT,2007,K&A,1089
HARYANA,2007,K&A,554
HIMACHAL PRADESH,2007,K&A,150
JAMMU & KASHMIR,2007,K&A,707
JHARKHAND,2007,K&A,534
KARNATAKA,2007,K&A,390
KERALA,2007,K&A,177
MADHYA PRADESH,2007,K&A,701
MAHARASHTRA,2007,K&A,967
MANIPUR,2007,K&A,83
MEGHALAYA,2007,K&A,22
MIZORAM,2007,K&A,0
NAGALAND,2007,K&A,6
ODISHA,2007,K&A,660
PUNJAB,2007,K&A,545
RAJASTHAN,2007,K&A,1694
SIKKIM,2007,K&A,9
TAMIL NADU,2007,K&A,1097
TRIPURA,2007,K&A,81
UTTAR PRADESH,2007,K&A,3363
UTTARAKHAND,2007,K&A,227
WEST BENGAL,2007,K&A,1590
A & N ISLANDS,2007,K&A,9
CHANDIGARH,2007,K&A,46
D & N HAVELI,2007,K&A,6
DAMAN & DIU,2007,K&A,1
LAKSHADWEEP,2007,K&A,0
PUDUCHERRY,2007,K&A,14
ANDHRA PRADESH,2008,K&A,1396
ARUNACHAL PRADESH,2008,K&A,47
ASSAM,2008,K&A,1789
BIHAR,2008,K&A,1789
CHHATTISGARH,2008,K&A,216
GOA,2008,K&A,28
GUJARAT,2008,K&A,1119
HARYANA,2008,K&A,644
HIMACHAL PRADESH,2008,K&A,137
JAMMU & KASHMIR,2008,K&A,656
JHARKHAND,2008,K&A,499
KARNATAKA,2008,K&A,405
KERALA,2008,K&A,166
MADHYA PRADESH,2008,K&A,736
MAHARASHTRA,2008,K&A,998
MANIPUR,2008,K&A,87
MEGHALAYA,2008,K&A,25
MIZORAM,2008,K&A,1
NAGALAND,2008,K&A,7
ODISHA,2008,K&A,762
PUNJAB,2008,K&A,514
RAJASTHAN,2008,K&A,1863
SIKKIM,2008,K&A,4
TAMIL NADU,2008,K&A,1160
TRIPURA,2008,K&A,110
UTTAR PRADESH,2008,K&A,4439
UTTARAKHAND,2008,K&A,222
WEST BENGAL,2008,K&A,1907
A & N ISLANDS,2008,K&A,13
CHANDIGARH,2008,K&A,42
D & N HAVELI,2008,K&A,11
DAMAN & DIU,2008,K&A,1
LAKSHADWEEP,2008,K&A,1
PUDUCHERRY,2008,K&A,9
ANDHRA PRADESH,2009,K&A,1526
ARUNACHAL PRADESH,2009,K&A,28
ASSAM,2009,K&A,2092
BIHAR,2009,K&A,1986
CHHATTISGARH,2009,K&A,229
GOA,2009,K&A,22
GUJARAT,2009,K&A,1162
HARYANA,2009,K&A,659
HIMACHAL PRADESH,2009,K&A,122
JAMMU & KASHMIR,2009,K&A,825
JHARKHAND,2009,K&A,517
KARNATAKA,2009,K&A,408
KERALA,2009,K&A,173
MADHYA PRADESH,2009,K&A,841
MAHARASHTRA,2009,K&A,926
MANIPUR,2009,K&A,97
MEGHALAYA,2009,K&A,26
MIZORAM,2009,K&A,0
NAGALAND,2009,K&A,10
ODISHA,2009,K&A,799
PUNJAB,2009,K&A,513
RAJASTHAN,2009,K&A,2310
SIKKIM,2009,K&A,6
TAMIL NADU,2009,K&A,1133
TRIPURA,2009,K&A,92
UTTAR PRADESH,2009,K&A,5078
UTTARAKHAND,2009,K&A,247
WEST BENGAL,2009,K&A,2187
A & N ISLANDS,2009,K&A,14
CHANDIGARH,2009,K&A,36
D & N HAVELI,2009,K&A,9
DAMAN & DIU,2009,K&A,0
LAKSHADWEEP,2009,K&A,0
PUDUCHERRY,2009,K&A,13
ANDHRA PRADESH,2010,K&A,1531
ARUNACHAL PRADESH,2010,K&A,46
ASSAM,2010,K&A,2767
BIHAR,2010,K&A,2569
CHHATTISGARH,2010,K&A,279
GOA,2010,K&A,18
GUJARAT,2010,K&A,1290
HARYANA,2010,K&A,714
HIMACHAL PRADESH,2010,K&A,162
JAMMU & KASHMIR,2010,K&A,840
JHARKHAND,2010,K&A,696
KARNATAKA,2010,K&A,586
KERALA,2010,K&A,184
MADHYA PRADESH,2010,K&A,1030
MAHARASHTRA,2010,K&A,1124
MANIPUR,2010,K&A,107
MEGHALAYA,2010,K&A,37
MIZORAM,2010,K&A,0
NAGALAND,2010,K&A,6
ODISHA,2010,K&A,912
PUNJAB,2010,K&A,576
RAJASTHAN,2010,K&A,2477
SIKKIM,2010,K&A,6
TAMIL NADU,2010,K&A,1464
TRIPURA,2010,K&A,91
UTTAR PRADESH,2010,K&A,5468
UTTARAKHAND,2010,K&A,249
WEST BENGAL,2010,K&A,2764
A & N ISLANDS,2010,K&A,8
CHANDIGARH,2010,K&A,28
D & N HAVELI,2010,K&A,10
DAMAN & DIU,2010,K&A,2
LAKSHADWEEP,2010,K&A,0
PUDUCHERRY,2010,K&A,14
Andhra Pradesh,2011,K&A,1612
Arunachal Pradesh,2011,K&A,60
Assam,2011,K&A,3192
Bihar,2011,K&A,3050
Chhattisgarh,2011,K&A,365
Goa,2011,K&A,17
Gujarat,2011,K&A,1442
Haryana,2011,K&A,733
Himachal Pradesh,2011,K&A,191
Jammu & Kashmir,2011,K&A,1023
Jharkhand,2011,K&A,660
Karnataka,2011,K&A,715
Kerala,2011,K&A,221
Madhya Pradesh,2011,K&A,1088
Maharashtra,2011,K&A,1252
Manipur,2011,K&A,116
Meghalaya,2011,K&A,37
Mizoram,2011,K&A,0
Nagaland,2011,K&A,3
Odisha,2011,K&A,1008
Punjab,2011,K&A,517
Rajasthan,2011,K&A,2713
Sikkim,2011,K&A,10
Tamil Nadu,2011,K&A,1743
Telangana,2011,K&A,0
Tripura,2011,K&A,116
Uttar Pradesh,2011,K&A,7525
Uttarakhand,2011,K&A,283
West Bengal,2011,K&A,3711
A & N Islands,2011,K&A,12
Chandigarh,2011,K&A,46
D&N Haveli,2011,K&A,8
Daman & Diu,2011,K&A,2
Delhi UT,2011,K&A,2085
Lakshadweep,2011,K&A,0
Puducherry,2011,K&A,9
Andhra Pradesh,2012,K&A,1403
Arunachal Pradesh,2012,K&A,58
Assam,2012,K&A,3360
Bihar,2012,K&A,3789
Chhattisgarh,2012,K&A,350
Goa,2012,K&A,16
Gujarat,2012,K&A,1527
Haryana,2012,K&A,900
Himachal Pradesh,2012,K&A,152
Jammu & Kashmir,2012,K&A,1041
Jharkhand,2012,K&A,786
Karnataka,2012,K&A,1070
Kerala,2012,K&A,214
Madhya Pradesh,2012,K&A,1127
Maharashtra,2012,K&A,1140
Manipur,2012,K&A,133
Meghalaya,2012,K&A,24
Mizoram,2012,K&A,3
Nagaland,2012,K&A,10
Odisha,2012,K&A,1364
Punjab,2012,K&A,689
Rajasthan,2012,K&A,2697
Sikkim,2012,K&A,10
Tamil Nadu,2012,K&A,1693
Telangana,2012,K&A,0
Tripura,2012,K&A,114
Uttar Pradesh,2012,K&A,7910
Uttarakhand,2012,K&A,256
West Bengal,2012,K&A,4168
A & N Islands,2012,K&A,7
Chandigarh,2012,K&A,66
D&N Haveli,2012,K&A,9
Daman & Diu,2012,K&A,0
Delhi UT,2012,K&A,2160
Lakshadweep,2012,K&A,0
Puducherry,2012,K&A,16
Andhra Pradesh,2013,K&A,1595
Arunachal Pradesh,2013,K&A,86
Assam,2013,K&A,4222
Bihar,2013,K&A,4419
Chhattisgarh,2013,K&A,1881
Goa,2013,K&A,70
Gujarat,2013,K&A,2230
Haryana,2013,K&A,1957
Himachal Pradesh,2013,K&A,290
Jammu & Kashmir,2013,K&A,949
Jharkhand,2013,K&A,926
Karnataka,2013,K&A,1359
Kerala,2013,K&A,185
Madhya Pradesh,2013,K&A,2873
Maharashtra,2013,K&A,1874
Manipur,2013,K&A,125
Meghalaya,2013,K&A,33
Mizoram,2013,K&A,2
Nagaland,2013,K&A,11
Odisha,2013,K&A,2067
Punjab,2013,K&A,987
Rajasthan,2013,K&A,4047
Sikkim,2013,K&A,16
Tamil Nadu,2013,K&A,1516
Telangana,2013,K&A,0
Tripura,2013,K&A,124
Uttar Pradesh,2013,K&A,9737
Uttarakhand,2013,K&A,633
West Bengal,2013,K&A,3830
A & N Islands,2013,K&A,12
Chandigarh,2013,K&A,174
D&N Haveli,2013,K&A,11
Daman & Diu,2013,K&A,6
Delhi UT,2013,K&A,3609
Lakshadweep,2013,K&A,0
Puducherry,2013,K&A,25
Andhra Pradesh,2014,K&A,721
Arunachal Pradesh,2014,K&A,91
Assam,2014,K&A,3895
Bihar,2014,K&A,4735
Chhattisgarh,2014,K&A,1393
Goa,2014,K&A,86
Gujarat,2014,K&A,2187
Haryana,2014,K&A,1922
Himachal Pradesh,2014,K&A,227
Jammu & Kashmir,2014,K&A,813
Jharkhand,2014,K&A,885
Karnataka,2014,K&A,1457
Kerala,2014,K&A,143
Madhya Pradesh,2014,K&A,5688
Maharashtra,2014,K&A,2457
Manipur,2014,K&A,121
Meghalaya,2014,K&A,38
Mizoram,2014,K&A,3
Nagaland,2014,K&A,13
Odisha,2014,K&A,2436
Punjab,2014,K&A,1176
Rajasthan,2014,K&A,4421
Sikkim,2014,K&A,12
Tamil Nadu,2014,K&A,1502
Telangana,2014,K&A,711
Tripura,2014,K&A,102
Uttar Pradesh,2014,K&A,10626
Uttarakhand,2014,K&A,275
West Bengal,2014,K&A,4976
A & N Islands,2014,K&A,17
Chandigarh,2014,K&A,133
D&N Haveli,2014,K&A,7
Daman & Diu,2014,K&A,1
Delhi UT,2014,K&A,4034
Lakshadweep,2014,K&A,0
Puducherry,2014,K&A,7
Andhra Pradesh,2015,K&A,684
Arunachal Pradesh,2015,K&A,128
Assam,2015,K&A,5039
Bihar,2015,K&A,5158
Chhattisgarh,2015,K&A,1354
Goa,2015,K&A,70
Gujarat,2015,K&A,1569
Haryana,2015,K&A,2336
Himachal Pradesh,2015,K&A,239
Jammu & Kashmir,2015,K&A,1071
Jharkhand,2015,K&A,930
Karnataka,2015,K&A,1611
Kerala,2015,K&A,192
Madhya Pradesh,2015,K&A,4547
Maharashtra,2015,K&A,5096
Manipur,2015,K&A,94
Meghalaya,2015,K&A,58
Mizoram,2015,K&A,8
Nagaland,2015,K&A,30
Odisha,2015,K&A,2587
Punjab,2015,K&A,1253
Rajasthan,2015,K&A,4167
Sikkim,2015,K&A,21
Tamil Nadu,2015,K&A,1335
Telangana,2015,K&A,648
Tripura,2015,K&A,120
Uttar Pradesh,2015,K&A,10135
Uttarakhand,2015,K&A,336
West Bengal,2015,K&A,3938
A & N Islands,2015,K&A,21
Chandigarh,2015,K&A,165
D&N Haveli,2015,K&A,9
Daman & Diu,2015,K&A,13
Delhi UT,2015,K&A,4301
Lakshadweep,2015,K&A,0
Puducherry,2015,K&A,14
Andhra Pradesh,2016,K&A,626
Arunachal Pradesh,2016,K&A,85
Assam,2016,K&A,5339
Bihar,2016,K&A,5496
Chhattisgarh,2016,K&A,1447
Goa,2016,K&A,69
Gujarat,2016,K&A,2146
Haryana,2016,K&A,2697
Himachal Pradesh,2016,K&A,201
Jammu & Kashmir,2016,K&A,774
Jharkhand,2016,K&A,693
Karnataka,2016,K&A,1923
Kerala,2016,K&A,166
Madhya Pradesh,2016,K&A,4904
Maharashtra,2016,K&A,6170
Manipur,2016,K&A,95
Meghalaya,2016,K&A,51
Mizoram,2016,K&A,3
Nagaland,2016,K&A,50
Odisha,2016,K&A,2291
Punjab,2016,K&A,1208
Rajasthan,2016,K&A,4010
Sikkim,2016,K&A,12
Tamil Nadu,2016,K&A,1043
Telangana,2016,K&A,987
Tripura,2016,K&A,119
Uttar Pradesh,2016,K&A,12994
Uttarakhand,2016,K&A,377
West Bengal,2016,K&A,4494
A & N Islands,2016,K&A,21
Chandigarh,2016,K&A,112
D&N Haveli,2016,K&A,5
Daman & Diu,2016,K&A,9
Delhi UT,2016,K&A,3891
Lakshadweep,2016,K&A,0
Puducherry,2016,K&A,11
Andhra Pradesh,2017,K&A,712
Arunachal Pradesh,2017,K&A,74
Assam,2017,K&A,5554
Bihar,2017,K&A,6182
Chhattisgarh,2017,K&A,1457
Goa,2017,K&A,61
Gujarat,2017,K&A,1259
Haryana,2017,K&A,2949
Himachal Pradesh,2017,K&A,242
Jammu & Kashmir,2017,K&A,931
Jharkhand,2017,K&A,1033
Karnataka,2017,K&A,967
Kerala,2017,K&A,184
Madhya Pradesh,2017,K&A,5200
Maharashtra,2017,K&A,6248
Manipur,2017,K&A,70
Meghalaya,2017,K&A,54
Mizoram,2017,K&A,0
Nagaland,2017,K&A,7
Odisha,2017,K&A,2773
Punjab,2017,K&A,1099
Rajasthan,2017,K&A,3838
Sikkim,2017,K&A,27
Tamil Nadu,2017,K&A,859
Telangana,2017,K&A,934
Tripura,2017,K&A,90
Uttar Pradesh,2017,K&A,14993
Uttarakhand,2017,K&A,371
West Bengal,2017,K&A,4232
A & N Islands,2017,K&A,3
Chandigarh,2017,K&A,138
D&N Haveli,2017,K&A,0
Daman & Diu,2017,K&A,0
Delhi UT,2017,K&A,3783
Lakshadweep,2017,K&A,0
Puducherry,2017,K&A,9
Andhra Pradesh,2018,K&A,697
Arunachal Pradesh,2018,K&A,87
Assam,2018,K&A,6401
Bihar,2018,K&A,7951
Chhattisgarh,2018,K&A,1842
Goa,2018,K&A,78
Gujarat,2018,K&A,1024
Haryana,2018,K&A,3419
Himachal Pradesh,2018,K&A,341
Jammu & Kashmir,2018,K&A,1061
Jharkhand,2018,K&A,1018
Karnataka,2018,K&A,1240
Kerala,2018,K&A,173
Madhya Pradesh,2018,K&A,6126
Maharashtra,2018,K&A,6825
Manipur,2018,K&A,85
Meghalaya,2018,K&A,58
Mizoram,2018,K&A,1
Nagaland,2018,K&A,35
Odisha,2018,K&A,2611
Punjab,2018,K&A,1266
Rajasthan,2018,K&A,4247
Sikkim,2018,K&A,7
Tamil Nadu,2018,K&A,896
Telangana,2018,K&A,1121
Tripura,2018,K&A,139
Uttar Pradesh,2018,K&A,15381
Uttarakhand,2018,K&A,502
West Bengal,2018,K&A,4249
A & N Islands,2018,K&A,2
Chandigarh,2018,K&A,139
D&N Haveli,2018,K&A,0
Daman & Diu,2018,K&A,0
Delhi UT,2018,K&A,3715
Lakshadweep,2018,K&A,0
Puducherry,2018,K&A,14
Andhra Pradesh,2019,K&A,589
Arunachal Pradesh,2019,K&A,68
Assam,2019,K&A,6989
Bihar,2019,K&A,9025
Chhattisgarh,2019,K&A,2033
Goa,2019,K&A,52
Gujarat,2019,K&A,922
Haryana,2019,K&A,2803
Himachal Pradesh,2019,K&A,337
Jammu & Kashmir,2019,K&A,893
Jharkhand,2019,K&A,1008
Karnataka,2019,K&A,1056
Kerala,2019,K&A,227
Madhya Pradesh,2019,K&A,6091
Maharashtra,2019,K&A,6906
Manipur,2019,K&A,84
Meghalaya,2019,K&A,71
Mizoram,2019,K&A,2
Nagaland,2019,K&A,13
Odisha,2019,K&A,3934
Punjab,2019,K&A,1534
Rajasthan,2019,K&A,5907
Sikkim,2019,K&A,0
Tamil Nadu,2019,K&A,699
Telangana,2019,K&A,1322
Tripura,2019,K&A,138
Uttar Pradesh,2019,K&A,11649
Uttarakhand,2019,K&A,375
West Bengal,2019,K&A,4249
A & N Islands,2019,K&A,0
Chandigarh,2019,K&A,129
D&N Haveli,2019,K&A,1
Daman & Diu,2019,K&A,2
Delhi UT,2019,K&A,3672
Lakshadweep,2019,K&A,0
Puducherry,2019,K&A,0
Andhra Pradesh,2020,K&A,534
Arunachal Pradesh,2020,K&A,45
Assam,2020,K&A,5364
Bihar,2020,K&A,6671
Chhattisgarh,2020,K&A,1341
Goa,2020,K&A,31
Gujarat,2020,K&A,597
Haryana,2020,K&A,2423
Himachal Pradesh,2020,K&A,281
Jammu & Kashmir,2020,K&A,993
Jharkhand,2020,K&A,923
Karnataka,2020,K&A,151
Kerala,2020,K&A,4782
Madhya Pradesh,2020,K&A,5254
Maharashtra,2020,K&A,49
Manipur,2020,K&A,29
Meghalaya,2020,K&A,1
Mizoram,2020,K&A,6
Nagaland,2020,K&A,3775
Odisha,2020,K&A,1241
Punjab,2020,K&A,4739
Rajasthan,2020,K&A,11
Sikkim,2020,K&A,633
Tamil Nadu,2020,K&A,1314
Telangana,2020,K&A,110
Tripura,2020,K&A,9109
Uttar Pradesh,2020,K&A,349
Uttarakhand,2020,K&A,7740
West Bengal,2020,K&A,1
A & N Islands,2020,K&A,90
Chandigarh,2020,K&A,0
D&N Haveli,2020,K&A,2938
Daman & Diu,2020,K&A,775
Delhi UT,2020,K&A,0
Lakshadweep,2020,K&A,0
Puducherry,2020,K&A,0
Andhra Pradesh,2021,K&A,613
Arunachal Pradesh,2021,K&A,50
Assam,2021,K&A,5739
Bihar,2021,K&A,8661
Chhattisgarh,2021,K&A,1158
Goa,2021,K&A,39
Gujarat,2021,K&A,881
Haryana,2021,K&A,2958
Himachal Pradesh,2021,K&A,344
Jammu & Kashmir,2021,K&A,1159
Jharkhand,2021,K&A,906
Karnataka,2021,K&A,179
Kerala,2021,K&A,6106
Madhya Pradesh,2021,K&A,7559
Maharashtra,2021,K&A,44
Manipur,2021,K&A,42
Meghalaya,2021,K&A,0
Mizoram,2021,K&A,5
Nagaland,2021,K&A,5175
Odisha,2021,K&A,1616
Punjab,2021,K&A,5964
Rajasthan,2021,K&A,1
Sikkim,2021,K&A,638
Tamil Nadu,2021,K&A,1934
Telangana,2021,K&A,115
Tripura,2021,K&A,10574
Uttar Pradesh,2021,K&A,402
Uttarakhand,2021,K&A,7376
West Bengal,2021,K&A,0
A & N Islands,2021,K&A,120
Chandigarh,2021,K&A,23
D&N Haveli,2021,K&A,4083
Daman & Diu,2021,K&A,904
Delhi UT,2021,K&A,1
Lakshadweep,2021,K&A,0
Puducherry,2021,K&A,0
ANDHRA PRADESH,2001,DD,420
ARUNACHAL PRADESH,2001,DD,0
ASSAM,2001,DD,59
BIHAR,2001,DD,859
CHHATTISGARH,2001,DD,70
GOA,2001,DD,2
GUJARAT,2001,DD,67
HARYANA,2001,DD,285
HIMACHAL PRADESH,2001,DD,10
JAMMU & KASHMIR,2001,DD,13
JHARKHAND,2001,DD,217
KARNATAKA,2001,DD,220
KERALA,2001,DD,27
MADHYA PRADESH,2001,DD,609
MAHARASHTRA,2001,DD,308
MANIPUR,2001,DD,0
MEGHALAYA,2001,DD,0
MIZORAM,2001,DD,0
NAGALAND,2001,DD,0
ODISHA,2001,DD,294
PUNJAB,2001,DD,159
RAJASTHAN,2001,DD,376
SIKKIM,2001,DD,0
TAMIL NADU,2001,DD,191
TRIPURA,2001,DD,16
UTTAR PRADESH,2001,DD,2211
UTTARAKHAND,2001,DD,56
WEST BENGAL,2001,DD,265
A & N ISLANDS,2001,DD,0
CHANDIGARH,2001,DD,3
D & N HAVELI,2001,DD,0
DAMAN & DIU,2001,DD,0
LAKSHADWEEP,2001,DD,0
PUDUCHERRY,2001,DD,1
ANDHRA PRADESH,2002,DD,449
ARUNACHAL PRADESH,2002,DD,0
ASSAM,2002,DD,70
BIHAR,2002,DD,927
CHHATTISGARH,2002,DD,85
GOA,2002,DD,2
GUJARAT,2002,DD,62
HARYANA,2002,DD,256
HIMACHAL PRADESH,2002,DD,6
JAMMU & KASHMIR,2002,DD,18
JHARKHAND,2002,DD,275
KARNATAKA,2002,DD,233
KERALA,2002,DD,17
MADHYA PRADESH,2002,DD,674
MAHARASHTRA,2002,DD,303
MANIPUR,2002,DD,0
MEGHALAYA,2002,DD,0
MIZORAM,2002,DD,0
NAGALAND,2002,DD,0
ODISHA,2002,DD,248
PUNJAB,2002,DD,166
RAJASTHAN,2002,DD,399
SIKKIM,2002,DD,0
TAMIL NADU,2002,DD,243
TRIPURA,2002,DD,16
UTTAR PRADESH,2002,DD,1893
UTTARAKHAND,2002,DD,66
WEST BENGAL,2002,DD,273
A & N ISLANDS,2002,DD,0
CHANDIGARH,2002,DD,1
D & N HAVELI,2002,DD,0
DAMAN & DIU,2002,DD,0
LAKSHADWEEP,2002,DD,0
PUDUCHERRY,2002,DD,5
ANDHRA PRADESH,2003,DD,466
ARUNACHAL PRADESH,2003,DD,0
ASSAM,2003,DD,60
BIHAR,2003,DD,909
CHHATTISGARH,2003,DD,79
GOA,2003,DD,2
GUJARAT,2003,DD,54
HARYANA,2003,DD,222
HIMACHAL PRADESH,2003,DD,6
JAMMU & KASHMIR,2003,DD,10
JHARKHAND,2003,DD,262
KARNATAKA,2003,DD,194
KERALA,2003,DD,33
MADHYA PRADESH,2003,DD,648
MAHARASHTRA,2003,DD,368
MANIPUR,2003,DD,0
MEGHALAYA,2003,DD,0
MIZORAM,2003,DD,0
NAGALAND,2003,DD,0
ODISHA,2003,DD,279
PUNJAB,2003,DD,110
RAJASTHAN,2003,DD,389
SIKKIM,2003,DD,0
TAMIL NADU,2003,DD,220
TRIPURA,2003,DD,20
UTTAR PRADESH,2003,DD,1322
UTTARAKHAND,2003,DD,93
WEST BENGAL,2003,DD,329
A & N ISLANDS,2003,DD,0
CHANDIGARH,2003,DD,1
D & N HAVELI,2003,DD,0
DAMAN & DIU,2003,DD,1
LAKSHADWEEP,2003,DD,0
PUDUCHERRY,2003,DD,1
ANDHRA PRADESH,2004,DD,512
ARUNACHAL PRADESH,2004,DD,0
ASSAM,2004,DD,74
BIHAR,2004,DD,1029
CHHATTISGARH,2004,DD,71
GOA,2004,DD,2
GUJARAT,2004,DD,58
HARYANA,2004,DD,251
HIMACHAL PRADESH,2004,DD,8
JAMMU & KASHMIR,2004,DD,9
JHARKHAND,2004,DD,275
KARNATAKA,2004,DD,259
KERALA,2004,DD,31
MADHYA PRADESH,2004,DD,751
MAHARASHTRA,2004,DD,314
MANIPUR,2004,DD,0
MEGHALAYA,2004,DD,2
MIZORAM,2004,DD,0
NAGALAND,2004,DD,0
ODISHA,2004,DD,319
PUNJAB,2004,DD,113
RAJASTHAN,2004,DD,379
SIKKIM,2004,DD,0
TAMIL NADU,2004,DD,225
TRIPURA,2004,DD,20
UTTAR PRADESH,2004,DD,1708
UTTARAKHAND,2004,DD,82
WEST BENGAL,2004,DD,396
A & N ISLANDS,2004,DD,0
CHANDIGARH,2004,DD,6
D & N HAVELI,2004,DD,0
DAMAN & DIU,2004,DD,0
LAKSHADWEEP,2004,DD,0
PUDUCHERRY,2004,DD,6
ANDHRA PRADESH,2005,DD,443
ARUNACHAL PRADESH,2005,DD,0
ASSAM,2005,DD,99
BIHAR,2005,DD,1014
CHHATTISGARH,2005,DD,100
GOA,2005,DD,2
GUJARAT,2005,DD,48
HARYANA,2005,DD,212
HIMACHAL PRADESH,2005,DD,2
JAMMU & KASHMIR,2005,DD,5
JHARKHAND,2005,DD,257
KARNATAKA,2005,DD,261
KERALA,2005,DD,21
MADHYA PRADESH,2005,DD,739
MAHARASHTRA,2005,DD,341
MANIPUR,2005,DD,0
MEGHALAYA,2005,DD,1
MIZORAM,2005,DD,4
NAGALAND,2005,DD,0
ODISHA,2005,DD,334
PUNJAB,2005,DD,99
RAJASTHAN,2005,DD,361
SIKKIM,2005,DD,0
TAMIL NADU,2005,DD,215
TRIPURA,2005,DD,34
UTTAR PRADESH,2005,DD,1564
UTTARAKHAND,2005,DD,63
WEST BENGAL,2005,DD,446
