State,Year,AoM,AoW,DD,DV,KandA,Rape,WT,Total,share_AoM,share_AoW,share_DD,share_DV,share_KandA,share_Rape,share_WT,prev_total,yoy_growth
ARUNACHAL PRADESH,2003,0,43,0,14,51,31,0,139,0.0,0.30935251798561153,0.0,0.10071942446043165,0.3669064748201439,0.22302158273381295,0.0,159.0,-0.12578616352201258
ARUNACHAL PRADESH,2004,0,61,0,4,41,42,0,148,0.0,0.41216216216216217,0.0,0.02702702702702703,0.27702702702702703,0.28378378378378377,0.0,139.0,0.06474820143884892
ARUNACHAL PRADESH,2005,0,67,0,9,39,35,0,150,0.0,0.44666666666666666,0.0,0.06,0.26,0.23333333333333334,0.0,148.0,0.013513513513513514
ARUNACHAL PRADESH,2006,2,63,1,14,51,37,0,168,0.011904761904761904,0.375,0.005952380952380952,0.08333333333333333,0.30357142857142855,0.22023809523809523,0.0,150.0,0.12
ARUNACHAL PRADESH,2007,1,72,0,20,44,48,0,185,0.005405405405405406,0.3891891891891892,0.0,0.10810810810810811,0.23783783783783785,0.2594594594594595,0.0,168.0,0.10119047619047619
ARUNACHAL PRADESH,2008,1,72,0,13,47,42,0,175,0.005714285714285714,0.4114285714285714,0.0,0.07428571428571429,0.26857142857142857,0.24,0.0,185.0,-0.05405405405405406
ARUNACHAL PRADESH,2009,6,58,0,13,28,59,0,164,0.036585365853658534,0.35365853658536583,0.0,0.07926829268292683,0.17073170731707318,0.3597560975609756,0.0,175.0,-0.06285714285714286
ARUNACHAL PRADESH,2010,1,84,0,12,46,47,0,190,0.005263157894736842,0.4421052631578947,0.0,0.06315789473684211,0.24210526315789474,0.24736842105263157,0.0,164.0,0.15853658536585366
ASSAM,2001,4,850,59,1248,1070,817,0,4048,0.0009881422924901185,0.2099802371541502,0.01457509881422925,0.308300395256917,0.2643280632411067,0.20182806324110672,0.0,,0.0
ASSAM,2002,7,984,70,1694,1276,970,0,5001,0.0013997200559888023,0.1967606478704259,0.013997200559888023,0.33873225354929015,0.2551489702059588,0.1939612077584483,0.0,4048.0,0.23542490118577075
ASSAM,2003,6,878,60,1808,1351,1095,0,5198,0.0011542901115813775,0.16891111966140823,0.011542901115813775,0.34782608695652173,0.25990765679107347,0.21065794536360138,0.0,5001.0,0.03939212157568486
ASSAM,2004,11,883,74,1945,1552,1171,0,5636,0.0019517388218594747,0.15667139815471967,0.01312987934705465,0.3451029098651526,0.2753726046841732,0.20777146912704045,0.0,5198.0,0.08426317814544056
ASSAM,2005,19,899,99,2206,1456,1238,3,5920,0.0032094594594594596,0.1518581081081081,0.016722972972972972,0.37263513513513513,0.24594594594594596,0.20912162162162162,0.0005067567567567568,5636.0,0.050390347764371894
ASSAM,2006,10,1290,105,2548,1544,1244,0,6741,0.001483459427384661,0.19136626613262128,0.01557632398753894,0.37798546209761164,0.22904613558819167,0.18454235276665182,0.0,5920.0,0.13868243243243245
